Expected_ModelPred,Expected_PredValue,checkingstatus,duration,history,purpose,amount,savings,employ,installment,others,residence,property,age,otherplans,housing,cards,job,liable,tele,foreign,sex,TC
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,32,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,44,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,44,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,31,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,31,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,48,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,48,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,26,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,26,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,36,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,36,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,39,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,39,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,42,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,42,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,34,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,34,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,63,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,63,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,27,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,27,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,30,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,30,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,57,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,57,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,33,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,33,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,37,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,37,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,58,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,58,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,23,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,23,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,29,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,29,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,52,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,52,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,50,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,50,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,46,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,46,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,51,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,51,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,41,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,41,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,40,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,40,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,66,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,66,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,47,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,47,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,56,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,56,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,54,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,54,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,20,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,20,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,21,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,21,A141,A153,2,A172,2,A191,A202,female,OrigionalTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,38,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,38,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,70,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,70,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,65,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,65,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,74,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,74,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,68,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,68,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,43,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,43,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,55,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,55,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,64,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,64,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,75,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,75,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,19,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,19,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,62,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,62,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,59,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,59,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,67,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,67,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,22,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,22,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,49,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,49,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,45,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,45,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,53,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,53,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,35,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,35,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,61,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,61,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,28,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,28,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,25,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,25,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,24,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,24,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,60,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,60,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,32,A142,A151,3,A174,2,A192,A202,male,OrigionalTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,32,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,44,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,44,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,31,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,31,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,48,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,48,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,26,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,26,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,36,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,36,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,39,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,39,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,42,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,42,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,34,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,34,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,63,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,63,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,27,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,27,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,30,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,30,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,57,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,57,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,33,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,33,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,37,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,37,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,58,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,58,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,23,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,23,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,29,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,29,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,52,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,52,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,50,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,50,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,46,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,46,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,51,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,51,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,41,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,41,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,40,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,40,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,66,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,66,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,47,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,47,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,56,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,56,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,54,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,54,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,20,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,20,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,21,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,21,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
