Expected_ModelPred,Expected_PredValue,age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,TC
[0.19828307628631592],0,22,Federal-gov,Doctorate,13,Married-AF-spouse,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,0,115,35,United-States,OrigionalTC8
[0.19828307628631592],0,22,Federal-gov,Doctorate,13,Married-AF-spouse,Tech-support,Not-in-family,Amer-Indian-Eskimo,Female,0,115,35,United-States,PerturbTC8
[0.19828307628631592],0,22,Federal-gov,Doctorate,13,Married-AF-spouse,Tech-support,Not-in-family,Other,Male,0,115,35,United-States,PerturbTC8
[0.19828307628631592],0,22,Federal-gov,Doctorate,13,Married-AF-spouse,Tech-support,Not-in-family,Other,Female,0,115,35,United-States,PerturbTC8
[0.19828307628631592],0,22,Federal-gov,Doctorate,13,Married-AF-spouse,Tech-support,Not-in-family,White,Male,0,115,35,United-States,PerturbTC8
[0.19828307628631592],0,22,Federal-gov,Doctorate,13,Married-AF-spouse,Tech-support,Not-in-family,White,Female,0,115,35,United-States,PerturbTC8
[0.04483044147491455],0,24,Local-gov,Assoc-voc,14,Widowed,Craft-repair,Husband,Black,Male,0,115,40,United-States,PerturbTC9
[0.04483044147491455],0,24,Local-gov,Assoc-voc,14,Widowed,Craft-repair,Husband,Black,Female,0,115,40,United-States,PerturbTC9
[0.04483044147491455],0,24,Local-gov,Assoc-voc,14,Widowed,Craft-repair,Husband,Asian-Pac-Islander,Male,0,115,40,United-States,PerturbTC9
[0.04483044147491455],0,24,Local-gov,Assoc-voc,14,Widowed,Craft-repair,Husband,Asian-Pac-Islander,Female,0,115,40,United-States,PerturbTC9
[0.04483044147491455],0,24,Local-gov,Assoc-voc,14,Widowed,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0,115,40,United-States,PerturbTC9
[0.04483044147491455],0,24,Local-gov,Assoc-voc,14,Widowed,Craft-repair,Husband,Amer-Indian-Eskimo,Female,0,115,40,United-States,PerturbTC9
[0.04483044147491455],0,24,Local-gov,Assoc-voc,14,Widowed,Craft-repair,Husband,Other,Male,0,115,40,United-States,PerturbTC9
[0.04483044147491455],0,24,Local-gov,Assoc-voc,14,Widowed,Craft-repair,Husband,Other,Female,0,115,40,United-States,OrigionalTC9
[0.04483044147491455],0,24,Local-gov,Assoc-voc,14,Widowed,Craft-repair,Husband,White,Male,0,115,40,United-States,PerturbTC9
[0.04483044147491455],0,24,Local-gov,Assoc-voc,14,Widowed,Craft-repair,Husband,White,Female,0,115,40,United-States,PerturbTC9
[0.6276859641075134],1,27,Self-emp-inc,Prof-school,15,Never-married,Protective-serv,Wife,Black,Male,0,115,42,United-States,PerturbTC10
[0.6276859641075134],1,27,Self-emp-inc,Prof-school,15,Never-married,Protective-serv,Wife,Black,Female,0,115,42,United-States,PerturbTC10
[0.6276859641075134],1,27,Self-emp-inc,Prof-school,15,Never-married,Protective-serv,Wife,Asian-Pac-Islander,Male,0,115,42,United-States,PerturbTC10
[0.6276859641075134],1,27,Self-emp-inc,Prof-school,15,Never-married,Protective-serv,Wife,Asian-Pac-Islander,Female,0,115,42,United-States,PerturbTC10
[0.6276859641075134],1,27,Self-emp-inc,Prof-school,15,Never-married,Protective-serv,Wife,Amer-Indian-Eskimo,Male,0,115,42,United-States,PerturbTC10
[0.6276859641075134],1,27,Self-emp-inc,Prof-school,15,Never-married,Protective-serv,Wife,Amer-Indian-Eskimo,Female,0,115,42,United-States,PerturbTC10
[0.6276859641075134],1,27,Self-emp-inc,Prof-school,15,Never-married,Protective-serv,Wife,Other,Male,0,115,42,United-States,PerturbTC10
[0.6276859641075134],1,27,Self-emp-inc,Prof-school,15,Never-married,Protective-serv,Wife,Other,Female,0,115,42,United-States,PerturbTC10
[0.6276859641075134],1,27,Self-emp-inc,Prof-school,15,Never-married,Protective-serv,Wife,White,Male,0,115,42,United-States,OrigionalTC10
[0.6276859641075134],1,27,Self-emp-inc,Prof-school,15,Never-married,Protective-serv,Wife,White,Female,0,115,42,United-States,PerturbTC10
[0.03820684552192688],0,28,Without-pay,5th-6th,1,Married-civ-spouse,Armed-Forces,Own-child,Black,Male,0,115,44,United-States,PerturbTC11
[0.03820684552192688],0,28,Without-pay,5th-6th,1,Married-civ-spouse,Armed-Forces,Own-child,Black,Female,0,115,44,United-States,PerturbTC11
[0.03820684552192688],0,28,Without-pay,5th-6th,1,Married-civ-spouse,Armed-Forces,Own-child,Asian-Pac-Islander,Male,0,115,44,United-States,OrigionalTC11
[0.03820684552192688],0,28,Without-pay,5th-6th,1,Married-civ-spouse,Armed-Forces,Own-child,Asian-Pac-Islander,Female,0,115,44,United-States,PerturbTC11
[0.03820684552192688],0,28,Without-pay,5th-6th,1,Married-civ-spouse,Armed-Forces,Own-child,Amer-Indian-Eskimo,Male,0,115,44,United-States,PerturbTC11
[0.03820684552192688],0,28,Without-pay,5th-6th,1,Married-civ-spouse,Armed-Forces,Own-child,Amer-Indian-Eskimo,Female,0,115,44,United-States,PerturbTC11
[0.03820684552192688],0,28,Without-pay,5th-6th,1,Married-civ-spouse,Armed-Forces,Own-child,Other,Male,0,115,44,United-States,PerturbTC11
[0.03820684552192688],0,28,Without-pay,5th-6th,1,Married-civ-spouse,Armed-Forces,Own-child,Other,Female,0,115,44,United-States,PerturbTC11
[0.03820684552192688],0,28,Without-pay,5th-6th,1,Married-civ-spouse,Armed-Forces,Own-child,White,Male,0,115,44,United-States,PerturbTC11
[0.03820684552192688],0,28,Without-pay,5th-6th,1,Married-civ-spouse,Armed-Forces,Own-child,White,Female,0,115,44,United-States,PerturbTC11
[0.006407409906387329],0,30,State-gov,10th,4,Divorced,Priv-house-serv,Unmarried,Black,Male,0,115,50,United-States,PerturbTC12
[0.006407409906387329],0,30,State-gov,10th,4,Divorced,Priv-house-serv,Unmarried,Black,Female,0,115,50,United-States,PerturbTC12
[0.006407409906387329],0,30,State-gov,10th,4,Divorced,Priv-house-serv,Unmarried,Asian-Pac-Islander,Male,0,115,50,United-States,PerturbTC12
[0.006407409906387329],0,30,State-gov,10th,4,Divorced,Priv-house-serv,Unmarried,Asian-Pac-Islander,Female,0,115,50,United-States,PerturbTC12
[0.006407409906387329],0,30,State-gov,10th,4,Divorced,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Male,0,115,50,United-States,PerturbTC12
[0.006407409906387329],0,30,State-gov,10th,4,Divorced,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Female,0,115,50,United-States,OrigionalTC12
[0.006407409906387329],0,30,State-gov,10th,4,Divorced,Priv-house-serv,Unmarried,Other,Male,0,115,50,United-States,PerturbTC12
[0.006407409906387329],0,30,State-gov,10th,4,Divorced,Priv-house-serv,Unmarried,Other,Female,0,115,50,United-States,PerturbTC12
[0.006407409906387329],0,30,State-gov,10th,4,Divorced,Priv-house-serv,Unmarried,White,Male,0,115,50,United-States,PerturbTC12
[0.006407409906387329],0,30,State-gov,10th,4,Divorced,Priv-house-serv,Unmarried,White,Female,0,115,50,United-States,PerturbTC12
[0.18421894311904907],0,37,Private,Preschool,11,Separated,Adm-clerical,Other-relative,Black,Male,0,115,65,United-States,PerturbTC13
[0.18421894311904907],0,37,Private,Preschool,11,Separated,Adm-clerical,Other-relative,Black,Female,0,115,65,United-States,PerturbTC13
[0.18421894311904907],0,37,Private,Preschool,11,Separated,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,0,115,65,United-States,PerturbTC13
[0.18421894311904907],0,37,Private,Preschool,11,Separated,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,0,115,65,United-States,PerturbTC13
[0.18421894311904907],0,37,Private,Preschool,11,Separated,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Male,0,115,65,United-States,PerturbTC13
[0.18421894311904907],0,37,Private,Preschool,11,Separated,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Female,0,115,65,United-States,PerturbTC13
[0.18421894311904907],0,37,Private,Preschool,11,Separated,Adm-clerical,Other-relative,Other,Male,0,115,65,United-States,PerturbTC13
[0.18421894311904907],0,37,Private,Preschool,11,Separated,Adm-clerical,Other-relative,Other,Female,0,115,65,United-States,OrigionalTC13
[0.18421894311904907],0,37,Private,Preschool,11,Separated,Adm-clerical,Other-relative,White,Male,0,115,65,United-States,PerturbTC13
[0.18421894311904907],0,37,Private,Preschool,11,Separated,Adm-clerical,Other-relative,White,Female,0,115,65,United-States,PerturbTC13
[0.45743778347969055],0,89,Federal-gov,12th,14,Divorced,Exec-managerial,Not-in-family,Black,Male,0,115,31,United-States,PerturbTC14
[0.45743778347969055],0,89,Federal-gov,12th,14,Divorced,Exec-managerial,Not-in-family,Black,Female,0,115,31,United-States,PerturbTC14
[0.45743778347969055],0,89,Federal-gov,12th,14,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,115,31,United-States,PerturbTC14
[0.45743778347969055],0,89,Federal-gov,12th,14,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,115,31,United-States,PerturbTC14
[0.45743778347969055],0,89,Federal-gov,12th,14,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,0,115,31,United-States,PerturbTC14
[0.45743778347969055],0,89,Federal-gov,12th,14,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,0,115,31,United-States,PerturbTC14
[0.45743778347969055],0,89,Federal-gov,12th,14,Divorced,Exec-managerial,Not-in-family,Other,Male,0,115,31,United-States,OrigionalTC14
[0.45743778347969055],0,89,Federal-gov,12th,14,Divorced,Exec-managerial,Not-in-family,Other,Female,0,115,31,United-States,PerturbTC14
[0.45743778347969055],0,89,Federal-gov,12th,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,115,31,United-States,PerturbTC14
[0.45743778347969055],0,89,Federal-gov,12th,14,Divorced,Exec-managerial,Not-in-family,White,Female,0,115,31,United-States,PerturbTC14
[0.008608728647232056],0,17,Local-gov,1st-4th,15,Married-AF-spouse,Handlers-cleaners,Own-child,Black,Male,0,115,32,United-States,PerturbTC15
[0.008608728647232056],0,17,Local-gov,1st-4th,15,Married-AF-spouse,Handlers-cleaners,Own-child,Black,Female,0,115,32,United-States,PerturbTC15
[0.008608728647232056],0,17,Local-gov,1st-4th,15,Married-AF-spouse,Handlers-cleaners,Own-child,Asian-Pac-Islander,Male,0,115,32,United-States,PerturbTC15
[0.008608728647232056],0,17,Local-gov,1st-4th,15,Married-AF-spouse,Handlers-cleaners,Own-child,Asian-Pac-Islander,Female,0,115,32,United-States,PerturbTC15
[0.008608728647232056],0,17,Local-gov,1st-4th,15,Married-AF-spouse,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,0,115,32,United-States,PerturbTC15
[0.008608728647232056],0,17,Local-gov,1st-4th,15,Married-AF-spouse,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Female,0,115,32,United-States,PerturbTC15
[0.008608728647232056],0,17,Local-gov,1st-4th,15,Married-AF-spouse,Handlers-cleaners,Own-child,Other,Male,0,115,32,United-States,PerturbTC15
[0.008608728647232056],0,17,Local-gov,1st-4th,15,Married-AF-spouse,Handlers-cleaners,Own-child,Other,Female,0,115,32,United-States,OrigionalTC15
[0.008608728647232056],0,17,Local-gov,1st-4th,15,Married-AF-spouse,Handlers-cleaners,Own-child,White,Male,0,115,32,United-States,PerturbTC15
[0.008608728647232056],0,17,Local-gov,1st-4th,15,Married-AF-spouse,Handlers-cleaners,Own-child,White,Female,0,115,32,United-States,PerturbTC15
[0.9873895645141602],1,24,Without-pay,Bachelors,1,Married-AF-spouse,Prof-specialty,Other-relative,Black,Male,3820,1564,42,Cuba,OrigionalTC16
[0.9873895645141602],1,24,Without-pay,Bachelors,1,Married-AF-spouse,Prof-specialty,Other-relative,Black,Female,3820,1564,42,Cuba,PerturbTC16
[0.9873895645141602],1,24,Without-pay,Bachelors,1,Married-AF-spouse,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,3820,1564,42,Cuba,PerturbTC16
[0.9873895645141602],1,24,Without-pay,Bachelors,1,Married-AF-spouse,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,3820,1564,42,Cuba,PerturbTC16
[0.9873895645141602],1,24,Without-pay,Bachelors,1,Married-AF-spouse,Prof-specialty,Other-relative,Amer-Indian-Eskimo,Male,3820,1564,42,Cuba,PerturbTC16
[0.9873895645141602],1,24,Without-pay,Bachelors,1,Married-AF-spouse,Prof-specialty,Other-relative,Amer-Indian-Eskimo,Female,3820,1564,42,Cuba,PerturbTC16
[0.9873895645141602],1,24,Without-pay,Bachelors,1,Married-AF-spouse,Prof-specialty,Other-relative,Other,Male,3820,1564,42,Cuba,PerturbTC16
[0.9873895645141602],1,24,Without-pay,Bachelors,1,Married-AF-spouse,Prof-specialty,Other-relative,Other,Female,3820,1564,42,Cuba,PerturbTC16
[0.9873895645141602],1,24,Without-pay,Bachelors,1,Married-AF-spouse,Prof-specialty,Other-relative,White,Male,3820,1564,42,Cuba,PerturbTC16
[0.9873895645141602],1,24,Without-pay,Bachelors,1,Married-AF-spouse,Prof-specialty,Other-relative,White,Female,3820,1564,42,Cuba,PerturbTC16
[0.936269998550415],1,27,State-gov,HS-grad,4,Widowed,Other-service,Not-in-family,Black,Male,3103,1587,44,Cuba,PerturbTC17
[0.936269998550415],1,27,State-gov,HS-grad,4,Widowed,Other-service,Not-in-family,Black,Female,3103,1587,44,Cuba,PerturbTC17
[0.936269998550415],1,27,State-gov,HS-grad,4,Widowed,Other-service,Not-in-family,Asian-Pac-Islander,Male,3103,1587,44,Cuba,PerturbTC17
[0.936269998550415],1,27,State-gov,HS-grad,4,Widowed,Other-service,Not-in-family,Asian-Pac-Islander,Female,3103,1587,44,Cuba,OrigionalTC17
[0.936269998550415],1,27,State-gov,HS-grad,4,Widowed,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,3103,1587,44,Cuba,PerturbTC17
[0.936269998550415],1,27,State-gov,HS-grad,4,Widowed,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,3103,1587,44,Cuba,PerturbTC17
[0.936269998550415],1,27,State-gov,HS-grad,4,Widowed,Other-service,Not-in-family,Other,Male,3103,1587,44,Cuba,PerturbTC17
[0.936269998550415],1,27,State-gov,HS-grad,4,Widowed,Other-service,Not-in-family,Other,Female,3103,1587,44,Cuba,PerturbTC17
[0.936269998550415],1,27,State-gov,HS-grad,4,Widowed,Other-service,Not-in-family,White,Male,3103,1587,44,Cuba,PerturbTC17
[0.936269998550415],1,27,State-gov,HS-grad,4,Widowed,Other-service,Not-in-family,White,Female,3103,1587,44,Cuba,PerturbTC17
[0.9996626377105713],1,28,Self-emp-not-inc,11th,9,Never-married,Sales,Wife,Black,Male,4386,1816,50,Cuba,PerturbTC18
