Expected_ModelPred,Expected_PredValue,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,TC
[0.9484278559684753],1,Male,18,Less than 25,African-American,4,5,4,8,M,PerturbTC4
[0.9484278559684753],1,Female,18,Less than 25,African-American,4,5,4,8,M,PerturbTC4
[0.9484278559684753],1,Male,18,Less than 25,Caucasian,4,5,4,8,M,PerturbTC4
[0.9484278559684753],1,Female,18,Less than 25,Caucasian,4,5,4,8,M,PerturbTC4
[0.9484278559684753],1,Male,18,Less than 25,Hispanic,4,5,4,8,M,PerturbTC4
[0.9484278559684753],1,Female,18,Less than 25,Hispanic,4,5,4,8,M,PerturbTC4
[0.9484278559684753],1,Male,18,Less than 25,Native American,4,5,4,8,M,PerturbTC4
[0.9484278559684753],1,Female,18,Less than 25,Native American,4,5,4,8,M,PerturbTC4
[0.9484278559684753],1,Male,18,Less than 25,Asian,4,5,4,8,M,PerturbTC4
[0.9484278559684753],1,Female,18,Less than 25,Asian,4,5,4,8,M,OrigionalTC4
[0.9898223876953125],1,Male,18,Greater than 45,Other,6,1,5,18,M,OrigionalTC5
[0.9898223876953125],1,Female,18,Greater than 45,Other,6,1,5,18,M,PerturbTC5
[0.9898223876953125],1,Male,18,Greater than 45,African-American,6,1,5,18,M,PerturbTC5
[0.9898223876953125],1,Female,18,Greater than 45,African-American,6,1,5,18,M,PerturbTC5
[0.9898223876953125],1,Male,18,Greater than 45,Caucasian,6,1,5,18,M,PerturbTC5
[0.9898223876953125],1,Female,18,Greater than 45,Caucasian,6,1,5,18,M,PerturbTC5
[0.9898223876953125],1,Male,18,Greater than 45,Hispanic,6,1,5,18,M,PerturbTC5
[0.9898223876953125],1,Female,18,Greater than 45,Hispanic,6,1,5,18,M,PerturbTC5
[0.9898223876953125],1,Male,18,Greater than 45,Native American,6,1,5,18,M,PerturbTC5
[0.9898223876953125],1,Female,18,Greater than 45,Native American,6,1,5,18,M,PerturbTC5
[0.9898223876953125],1,Male,18,Greater than 45,Asian,6,1,5,18,M,PerturbTC5
[0.9898223876953125],1,Female,18,Greater than 45,Asian,6,1,5,18,M,PerturbTC5
[0.698310136795044],1,Male,18,25 - 45,Other,1,2,6,0,F,PerturbTC6
[0.698310136795044],1,Female,18,25 - 45,Other,1,2,6,0,F,PerturbTC6
[0.698310136795044],1,Male,18,25 - 45,African-American,1,2,6,0,F,OrigionalTC6
[0.698310136795044],1,Female,18,25 - 45,African-American,1,2,6,0,F,PerturbTC6
[0.698310136795044],1,Male,18,25 - 45,Caucasian,1,2,6,0,F,PerturbTC6
[0.698310136795044],1,Female,18,25 - 45,Caucasian,1,2,6,0,F,PerturbTC6
[0.698310136795044],1,Male,18,25 - 45,Hispanic,1,2,6,0,F,PerturbTC6
[0.698310136795044],1,Female,18,25 - 45,Hispanic,1,2,6,0,F,PerturbTC6
[0.698310136795044],1,Male,18,25 - 45,Native American,1,2,6,0,F,PerturbTC6
[0.698310136795044],1,Female,18,25 - 45,Native American,1,2,6,0,F,PerturbTC6
[0.698310136795044],1,Male,18,25 - 45,Asian,1,2,6,0,F,PerturbTC6
[0.698310136795044],1,Female,18,25 - 45,Asian,1,2,6,0,F,PerturbTC6
[0.740920901298523],1,Male,18,Less than 25,Other,2,3,7,1,F,PerturbTC7
[0.740920901298523],1,Female,18,Less than 25,Other,2,3,7,1,F,PerturbTC7
[0.740920901298523],1,Male,18,Less than 25,African-American,2,3,7,1,F,PerturbTC7
[0.740920901298523],1,Female,18,Less than 25,African-American,2,3,7,1,F,PerturbTC7
[0.740920901298523],1,Male,18,Less than 25,Caucasian,2,3,7,1,F,PerturbTC7
[0.740920901298523],1,Female,18,Less than 25,Caucasian,2,3,7,1,F,OrigionalTC7
[0.740920901298523],1,Male,18,Less than 25,Hispanic,2,3,7,1,F,PerturbTC7
[0.740920901298523],1,Female,18,Less than 25,Hispanic,2,3,7,1,F,PerturbTC7
[0.740920901298523],1,Male,18,Less than 25,Native American,2,3,7,1,F,PerturbTC7
[0.740920901298523],1,Female,18,Less than 25,Native American,2,3,7,1,F,PerturbTC7
[0.740920901298523],1,Male,18,Less than 25,Asian,2,3,7,1,F,PerturbTC7
[0.740920901298523],1,Female,18,Less than 25,Asian,2,3,7,1,F,PerturbTC7
[0.765302300453186],1,Male,20,Greater than 45,Other,0,0,0,2,F,PerturbTC8
[0.765302300453186],1,Female,20,Greater than 45,Other,0,0,0,2,F,PerturbTC8
[0.765302300453186],1,Male,20,Greater than 45,African-American,0,0,0,2,F,PerturbTC8
[0.765302300453186],1,Female,20,Greater than 45,African-American,0,0,0,2,F,PerturbTC8
[0.765302300453186],1,Male,20,Greater than 45,Caucasian,0,0,0,2,F,PerturbTC8
[0.765302300453186],1,Female,20,Greater than 45,Caucasian,0,0,0,2,F,PerturbTC8
[0.765302300453186],1,Male,20,Greater than 45,Hispanic,0,0,0,2,F,OrigionalTC8
[0.765302300453186],1,Female,20,Greater than 45,Hispanic,0,0,0,2,F,PerturbTC8
[0.765302300453186],1,Male,20,Greater than 45,Native American,0,0,0,2,F,PerturbTC8
[0.765302300453186],1,Female,20,Greater than 45,Native American,0,0,0,2,F,PerturbTC8
[0.765302300453186],1,Male,20,Greater than 45,Asian,0,0,0,2,F,PerturbTC8
[0.765302300453186],1,Female,20,Greater than 45,Asian,0,0,0,2,F,PerturbTC8
[0.8378170728683472],1,Male,20,25 - 45,Other,4,5,1,3,M,PerturbTC9
[0.8378170728683472],1,Female,20,25 - 45,Other,4,5,1,3,M,PerturbTC9
[0.8378170728683472],1,Male,20,25 - 45,African-American,4,5,1,3,M,PerturbTC9
[0.8378170728683472],1,Female,20,25 - 45,African-American,4,5,1,3,M,PerturbTC9
[0.8378170728683472],1,Male,20,25 - 45,Caucasian,4,5,1,3,M,PerturbTC9
[0.8378170728683472],1,Female,20,25 - 45,Caucasian,4,5,1,3,M,PerturbTC9
[0.8378170728683472],1,Male,20,25 - 45,Hispanic,4,5,1,3,M,PerturbTC9
[0.8378170728683472],1,Female,20,25 - 45,Hispanic,4,5,1,3,M,PerturbTC9
[0.8378170728683472],1,Male,20,25 - 45,Native American,4,5,1,3,M,PerturbTC9
[0.8378170728683472],1,Female,20,25 - 45,Native American,4,5,1,3,M,OrigionalTC9
[0.8378170728683472],1,Male,20,25 - 45,Asian,4,5,1,3,M,PerturbTC9
[0.8378170728683472],1,Female,20,25 - 45,Asian,4,5,1,3,M,PerturbTC9
[0.9081698656082153],1,Male,20,Less than 25,Other,6,1,2,6,F,PerturbTC10
[0.9081698656082153],1,Female,20,Less than 25,Other,6,1,2,6,F,PerturbTC10
[0.9081698656082153],1,Male,20,Less than 25,African-American,6,1,2,6,F,PerturbTC10
[0.9081698656082153],1,Female,20,Less than 25,African-American,6,1,2,6,F,PerturbTC10
[0.9081698656082153],1,Male,20,Less than 25,Caucasian,6,1,2,6,F,PerturbTC10
[0.9081698656082153],1,Female,20,Less than 25,Caucasian,6,1,2,6,F,PerturbTC10
[0.9081698656082153],1,Male,20,Less than 25,Hispanic,6,1,2,6,F,PerturbTC10
[0.9081698656082153],1,Female,20,Less than 25,Hispanic,6,1,2,6,F,PerturbTC10
[0.9081698656082153],1,Male,20,Less than 25,Native American,6,1,2,6,F,PerturbTC10
[0.9081698656082153],1,Female,20,Less than 25,Native American,6,1,2,6,F,PerturbTC10
[0.9081698656082153],1,Male,20,Less than 25,Asian,6,1,2,6,F,PerturbTC10
[0.9081698656082153],1,Female,20,Less than 25,Asian,6,1,2,6,F,OrigionalTC10
[0.9117400646209717],1,Male,20,Greater than 45,Other,1,2,3,8,F,PerturbTC11
[0.9117400646209717],1,Female,20,Greater than 45,Other,1,2,3,8,F,OrigionalTC11
[0.9117400646209717],1,Male,20,Greater than 45,African-American,1,2,3,8,F,PerturbTC11
[0.9117400646209717],1,Female,20,Greater than 45,African-American,1,2,3,8,F,PerturbTC11
[0.9117400646209717],1,Male,20,Greater than 45,Caucasian,1,2,3,8,F,PerturbTC11
[0.9117400646209717],1,Female,20,Greater than 45,Caucasian,1,2,3,8,F,PerturbTC11
[0.9117400646209717],1,Male,20,Greater than 45,Hispanic,1,2,3,8,F,PerturbTC11
[0.9117400646209717],1,Female,20,Greater than 45,Hispanic,1,2,3,8,F,PerturbTC11
[0.9117400646209717],1,Male,20,Greater than 45,Native American,1,2,3,8,F,PerturbTC11
[0.9117400646209717],1,Female,20,Greater than 45,Native American,1,2,3,8,F,PerturbTC11
[0.9117400646209717],1,Male,20,Greater than 45,Asian,1,2,3,8,F,PerturbTC11
[0.9117400646209717],1,Female,20,Greater than 45,Asian,1,2,3,8,F,PerturbTC11
[0.988208532333374],1,Male,20,Greater than 45,Other,3,3,4,18,F,PerturbTC12
[0.988208532333374],1,Female,20,Greater than 45,Other,3,3,4,18,F,PerturbTC12
[0.988208532333374],1,Male,20,Greater than 45,African-American,3,3,4,18,F,PerturbTC12
[0.988208532333374],1,Female,20,Greater than 45,African-American,3,3,4,18,F,OrigionalTC12
[0.988208532333374],1,Male,20,Greater than 45,Caucasian,3,3,4,18,F,PerturbTC12
[0.988208532333374],1,Female,20,Greater than 45,Caucasian,3,3,4,18,F,PerturbTC12
[0.988208532333374],1,Male,20,Greater than 45,Hispanic,3,3,4,18,F,PerturbTC12
[0.988208532333374],1,Female,20,Greater than 45,Hispanic,3,3,4,18,F,PerturbTC12
[0.988208532333374],1,Male,20,Greater than 45,Native American,3,3,4,18,F,PerturbTC12
[0.988208532333374],1,Female,20,Greater than 45,Native American,3,3,4,18,F,PerturbTC12
[0.988208532333374],1,Male,20,Greater than 45,Asian,3,3,4,18,F,PerturbTC12
[0.988208532333374],1,Female,20,Greater than 45,Asian,3,3,4,18,F,PerturbTC12
[0.5928778648376465],1,Male,20,Greater than 45,Other,4,5,5,0,F,PerturbTC13
[0.5928778648376465],1,Female,20,Greater than 45,Other,4,5,5,0,F,PerturbTC13
[0.5928778648376465],1,Male,20,Greater than 45,African-American,4,5,5,0,F,PerturbTC13
[0.5928778648376465],1,Female,20,Greater than 45,African-American,4,5,5,0,F,PerturbTC13
[0.5928778648376465],1,Male,20,Greater than 45,Caucasian,4,5,5,0,F,OrigionalTC13
[0.5928778648376465],1,Female,20,Greater than 45,Caucasian,4,5,5,0,F,PerturbTC13
[0.5928778648376465],1,Male,20,Greater than 45,Hispanic,4,5,5,0,F,PerturbTC13
[0.5928778648376465],1,Female,20,Greater than 45,Hispanic,4,5,5,0,F,PerturbTC13
[0.5928778648376465],1,Male,20,Greater than 45,Native American,4,5,5,0,F,PerturbTC13
[0.5928778648376465],1,Female,20,Greater than 45,Native American,4,5,5,0,F,PerturbTC13
[0.5928778648376465],1,Male,20,Greater than 45,Asian,4,5,5,0,F,PerturbTC13
[0.5928778648376465],1,Female,20,Greater than 45,Asian,4,5,5,0,F,PerturbTC13
[0.7824424505233765],1,Male,20,25 - 45,Other,6,5,6,1,M,PerturbTC14
[0.7824424505233765],1,Female,20,25 - 45,Other,6,5,6,1,M,PerturbTC14
[0.7824424505233765],1,Male,20,25 - 45,African-American,6,5,6,1,M,PerturbTC14
[0.7824424505233765],1,Female,20,25 - 45,African-American,6,5,6,1,M,PerturbTC14
[0.7824424505233765],1,Male,20,25 - 45,Caucasian,6,5,6,1,M,PerturbTC14
[0.7824424505233765],1,Female,20,25 - 45,Caucasian,6,5,6,1,M,PerturbTC14
[0.7824424505233765],1,Male,20,25 - 45,Hispanic,6,5,6,1,M,OrigionalTC14
[0.7824424505233765],1,Female,20,25 - 45,Hispanic,6,5,6,1,M,PerturbTC14
[0.7824424505233765],1,Male,20,25 - 45,Native American,6,5,6,1,M,PerturbTC14
[0.7824424505233765],1,Female,20,25 - 45,Native American,6,5,6,1,M,PerturbTC14
[0.7824424505233765],1,Male,20,25 - 45,Asian,6,5,6,1,M,PerturbTC14
[0.7824424505233765],1,Female,20,25 - 45,Asian,6,5,6,1,M,PerturbTC14
[0.8646057844161987],1,Male,20,25 - 45,Other,2,1,7,2,M,PerturbTC15
[0.8646057844161987],1,Female,20,25 - 45,Other,2,1,7,2,M,PerturbTC15
[0.8646057844161987],1,Male,20,25 - 45,African-American,2,1,7,2,M,PerturbTC15
[0.8646057844161987],1,Female,20,25 - 45,African-American,2,1,7,2,M,PerturbTC15
[0.8646057844161987],1,Male,20,25 - 45,Caucasian,2,1,7,2,M,PerturbTC15
[0.8646057844161987],1,Female,20,25 - 45,Caucasian,2,1,7,2,M,PerturbTC15
[0.8646057844161987],1,Male,20,25 - 45,Hispanic,2,1,7,2,M,PerturbTC15
[0.8646057844161987],1,Female,20,25 - 45,Hispanic,2,1,7,2,M,PerturbTC15
[0.8646057844161987],1,Male,20,25 - 45,Native American,2,1,7,2,M,OrigionalTC15
[0.8646057844161987],1,Female,20,25 - 45,Native American,2,1,7,2,M,PerturbTC15
[0.8646057844161987],1,Male,20,25 - 45,Asian,2,1,7,2,M,PerturbTC15
[0.8646057844161987],1,Female,20,25 - 45,Asian,2,1,7,2,M,PerturbTC15
[0.9001232385635376],1,Male,21,Less than 25,Other,0,0,0,3,M,PerturbTC16
[0.9001232385635376],1,Female,21,Less than 25,Other,0,0,0,3,M,PerturbTC16
[0.9001232385635376],1,Male,21,Less than 25,African-American,0,0,0,3,M,PerturbTC16
[0.9001232385635376],1,Female,21,Less than 25,African-American,0,0,0,3,M,PerturbTC16
[0.9001232385635376],1,Male,21,Less than 25,Caucasian,0,0,0,3,M,PerturbTC16
[0.9001232385635376],1,Female,21,Less than 25,Caucasian,0,0,0,3,M,PerturbTC16
[0.9001232385635376],1,Male,21,Less than 25,Hispanic,0,0,0,3,M,PerturbTC16
[0.9001232385635376],1,Female,21,Less than 25,Hispanic,0,0,0,3,M,PerturbTC16
[0.9001232385635376],1,Male,21,Less than 25,Native American,0,0,0,3,M,PerturbTC16
[0.9001232385635376],1,Female,21,Less than 25,Native American,0,0,0,3,M,PerturbTC16
[0.9001232385635376],1,Male,21,Less than 25,Asian,0,0,0,3,M,OrigionalTC16
[0.9001232385635376],1,Female,21,Less than 25,Asian,0,0,0,3,M,PerturbTC16
[0.8489701747894287],1,Male,21,Greater than 45,Other,2,5,1,6,F,PerturbTC17
[0.8489701747894287],1,Female,21,Greater than 45,Other,2,5,1,6,F,OrigionalTC17
[0.8489701747894287],1,Male,21,Greater than 45,African-American,2,5,1,6,F,PerturbTC17
[0.8489701747894287],1,Female,21,Greater than 45,African-American,2,5,1,6,F,PerturbTC17
[0.8489701747894287],1,Male,21,Greater than 45,Caucasian,2,5,1,6,F,PerturbTC17
[0.8489701747894287],1,Female,21,Greater than 45,Caucasian,2,5,1,6,F,PerturbTC17
[0.8489701747894287],1,Male,21,Greater than 45,Hispanic,2,5,1,6,F,PerturbTC17
[0.8489701747894287],1,Female,21,Greater than 45,Hispanic,2,5,1,6,F,PerturbTC17
[0.8489701747894287],1,Male,21,Greater than 45,Native American,2,5,1,6,F,PerturbTC17
[0.8489701747894287],1,Female,21,Greater than 45,Native American,2,5,1,6,F,PerturbTC17
[0.8489701747894287],1,Male,21,Greater than 45,Asian,2,5,1,6,F,PerturbTC17
[0.8489701747894287],1,Female,21,Greater than 45,Asian,2,5,1,6,F,PerturbTC17
[0.9347914457321167],1,Male,21,25 - 45,Other,3,1,2,8,M,PerturbTC18
[0.9347914457321167],1,Female,21,25 - 45,Other,3,1,2,8,M,PerturbTC18
[0.9347914457321167],1,Male,21,25 - 45,African-American,3,1,2,8,M,OrigionalTC18
[0.9347914457321167],1,Female,21,25 - 45,African-American,3,1,2,8,M,PerturbTC18
[0.9347914457321167],1,Male,21,25 - 45,Caucasian,3,1,2,8,M,PerturbTC18
[0.9347914457321167],1,Female,21,25 - 45,Caucasian,3,1,2,8,M,PerturbTC18
[0.9347914457321167],1,Male,21,25 - 45,Hispanic,3,1,2,8,M,PerturbTC18
[0.9347914457321167],1,Female,21,25 - 45,Hispanic,3,1,2,8,M,PerturbTC18
[0.9347914457321167],1,Male,21,25 - 45,Native American,3,1,2,8,M,PerturbTC18
[0.9347914457321167],1,Female,21,25 - 45,Native American,3,1,2,8,M,PerturbTC18
[0.9347914457321167],1,Male,21,25 - 45,Asian,3,1,2,8,M,PerturbTC18
[0.9347914457321167],1,Female,21,25 - 45,Asian,3,1,2,8,M,PerturbTC18
[0.9886163473129272],1,Male,21,Less than 25,Other,4,2,3,18,M,PerturbTC19
[0.9886163473129272],1,Female,21,Less than 25,Other,4,2,3,18,M,PerturbTC19
[0.9886163473129272],1,Male,21,Less than 25,African-American,4,2,3,18,M,PerturbTC19
[0.9886163473129272],1,Female,21,Less than 25,African-American,4,2,3,18,M,PerturbTC19
[0.9886163473129272],1,Male,21,Less than 25,Caucasian,4,2,3,18,M,PerturbTC19
[0.9886163473129272],1,Female,21,Less than 25,Caucasian,4,2,3,18,M,OrigionalTC19
[0.9886163473129272],1,Male,21,Less than 25,Hispanic,4,2,3,18,M,PerturbTC19
[0.9886163473129272],1,Female,21,Less than 25,Hispanic,4,2,3,18,M,PerturbTC19
[0.9886163473129272],1,Male,21,Less than 25,Native American,4,2,3,18,M,PerturbTC19
[0.9886163473129272],1,Female,21,Less than 25,Native American,4,2,3,18,M,PerturbTC19
[0.9886163473129272],1,Male,21,Less than 25,Asian,4,2,3,18,M,PerturbTC19
[0.9886163473129272],1,Female,21,Less than 25,Asian,4,2,3,18,M,PerturbTC19
[0.5242440104484558],1,Male,21,Less than 25,Other,6,3,4,0,M,PerturbTC20
[0.5242440104484558],1,Female,21,Less than 25,Other,6,3,4,0,M,PerturbTC20
[0.5242440104484558],1,Male,21,Less than 25,African-American,6,3,4,0,M,PerturbTC20
[0.5242440104484558],1,Female,21,Less than 25,African-American,6,3,4,0,M,PerturbTC20
[0.5242440104484558],1,Male,21,Less than 25,Caucasian,6,3,4,0,M,PerturbTC20
[0.5242440104484558],1,Female,21,Less than 25,Caucasian,6,3,4,0,M,PerturbTC20
[0.5242440104484558],1,Male,21,Less than 25,Hispanic,6,3,4,0,M,PerturbTC20
[0.5242440104484558],1,Female,21,Less than 25,Hispanic,6,3,4,0,M,OrigionalTC20
[0.5242440104484558],1,Male,21,Less than 25,Native American,6,3,4,0,M,PerturbTC20
[0.5242440104484558],1,Female,21,Less than 25,Native American,6,3,4,0,M,PerturbTC20
[0.5242440104484558],1,Male,21,Less than 25,Asian,6,3,4,0,M,PerturbTC20
[0.5242440104484558],1,Female,21,Less than 25,Asian,6,3,4,0,M,PerturbTC20
[0.6960668563842773],1,Male,21,Greater than 45,Other,1,2,5,1,F,PerturbTC21
[0.6960668563842773],1,Female,21,Greater than 45,Other,1,2,5,1,F,PerturbTC21
[0.6960668563842773],1,Male,21,Greater than 45,African-American,1,2,5,1,F,PerturbTC21
[0.6960668563842773],1,Female,21,Greater than 45,African-American,1,2,5,1,F,PerturbTC21
[0.6960668563842773],1,Male,21,Greater than 45,Caucasian,1,2,5,1,F,PerturbTC21
[0.6960668563842773],1,Female,21,Greater than 45,Caucasian,1,2,5,1,F,PerturbTC21
[0.6960668563842773],1,Male,21,Greater than 45,Hispanic,1,2,5,1,F,PerturbTC21
[0.6960668563842773],1,Female,21,Greater than 45,Hispanic,1,2,5,1,F,PerturbTC21
[0.6960668563842773],1,Male,21,Greater than 45,Native American,1,2,5,1,F,PerturbTC21
[0.6960668563842773],1,Female,21,Greater than 45,Native American,1,2,5,1,F,OrigionalTC21
[0.6960668563842773],1,Male,21,Greater than 45,Asian,1,2,5,1,F,PerturbTC21
[0.6960668563842773],1,Female,21,Greater than 45,Asian,1,2,5,1,F,PerturbTC21
[0.7855004072189331],1,Male,21,Less than 25,Other,3,3,6,2,M,PerturbTC22
[0.7855004072189331],1,Female,21,Less than 25,Other,3,3,6,2,M,PerturbTC22
[0.7855004072189331],1,Male,21,Less than 25,African-American,3,3,6,2,M,PerturbTC22
[0.7855004072189331],1,Female,21,Less than 25,African-American,3,3,6,2,M,PerturbTC22
[0.7855004072189331],1,Male,21,Less than 25,Caucasian,3,3,6,2,M,PerturbTC22
[0.7855004072189331],1,Female,21,Less than 25,Caucasian,3,3,6,2,M,PerturbTC22
[0.7855004072189331],1,Male,21,Less than 25,Hispanic,3,3,6,2,M,PerturbTC22
[0.7855004072189331],1,Female,21,Less than 25,Hispanic,3,3,6,2,M,PerturbTC22
[0.7855004072189331],1,Male,21,Less than 25,Native American,3,3,6,2,M,PerturbTC22
[0.7855004072189331],1,Female,21,Less than 25,Native American,3,3,6,2,M,PerturbTC22
[0.7855004072189331],1,Male,21,Less than 25,Asian,3,3,6,2,M,PerturbTC22
[0.7855004072189331],1,Female,21,Less than 25,Asian,3,3,6,2,M,OrigionalTC22
[0.8573472499847412],1,Male,21,25 - 45,Other,3,5,7,3,M,OrigionalTC23
[0.8573472499847412],1,Female,21,25 - 45,Other,3,5,7,3,M,PerturbTC23
[0.8573472499847412],1,Male,21,25 - 45,African-American,3,5,7,3,M,PerturbTC23
[0.8573472499847412],1,Female,21,25 - 45,African-American,3,5,7,3,M,PerturbTC23
[0.8573472499847412],1,Male,21,25 - 45,Caucasian,3,5,7,3,M,PerturbTC23
[0.8573472499847412],1,Female,21,25 - 45,Caucasian,3,5,7,3,M,PerturbTC23
[0.8573472499847412],1,Male,21,25 - 45,Hispanic,3,5,7,3,M,PerturbTC23
[0.8573472499847412],1,Female,21,25 - 45,Hispanic,3,5,7,3,M,PerturbTC23
[0.8573472499847412],1,Male,21,25 - 45,Native American,3,5,7,3,M,PerturbTC23
[0.8573472499847412],1,Female,21,25 - 45,Native American,3,5,7,3,M,PerturbTC23
[0.8573472499847412],1,Male,21,25 - 45,Asian,3,5,7,3,M,PerturbTC23
[0.8573472499847412],1,Female,21,25 - 45,Asian,3,5,7,3,M,PerturbTC23
[0.7958685159683228],1,Male,31,25 - 45,Other,0,0,0,6,M,PerturbTC24
[0.7958685159683228],1,Female,31,25 - 45,Other,0,0,0,6,M,PerturbTC24
[0.7958685159683228],1,Male,31,25 - 45,African-American,0,0,0,6,M,PerturbTC24
[0.7958685159683228],1,Female,31,25 - 45,African-American,0,0,0,6,M,PerturbTC24
[0.7958685159683228],1,Male,31,25 - 45,Caucasian,0,0,0,6,M,OrigionalTC24
[0.7958685159683228],1,Female,31,25 - 45,Caucasian,0,0,0,6,M,PerturbTC24
[0.7958685159683228],1,Male,31,25 - 45,Hispanic,0,0,0,6,M,PerturbTC24
[0.7958685159683228],1,Female,31,25 - 45,Hispanic,0,0,0,6,M,PerturbTC24
[0.7958685159683228],1,Male,31,25 - 45,Native American,0,0,0,6,M,PerturbTC24
[0.7958685159683228],1,Female,31,25 - 45,Native American,0,0,0,6,M,PerturbTC24
[0.7958685159683228],1,Male,31,25 - 45,Asian,0,0,0,6,M,PerturbTC24
[0.7958685159683228],1,Female,31,25 - 45,Asian,0,0,0,6,M,PerturbTC24
[0.8646564483642578],1,Male,31,Less than 25,Other,6,2,1,8,F,PerturbTC25
[0.8646564483642578],1,Female,31,Less than 25,Other,6,2,1,8,F,PerturbTC25
[0.8646564483642578],1,Male,31,Less than 25,African-American,6,2,1,8,F,PerturbTC25
