Perturb_ModelPred,Perturb_PredValue,Expected_ModelPred,Expected_PredValue,checkingstatus,duration,history,purpose,amount,savings,employ,installment,others,residence,property,age,otherplans,housing,cards,job,liable,tele,foreign,sex,TC
[0.7373166084289551],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,34,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9213173389434814],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,63,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.4885258078575134],0,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,63,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9744062423706055],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,27,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7726060152053833],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,27,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9743975400924683],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,30,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.765083372592926],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,30,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9360406398773193],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,57,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.5441656112670898],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,57,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9727619886398315],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,33,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7444522380828857],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,33,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.968532919883728],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,37,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7151548862457275],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,37,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9337787628173828],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,58,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.5349311232566833],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,58,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9744179248809814],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,23,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7726882100105286],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,23,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9744004011154175],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,29,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7716983556747437],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,29,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9463061094284058],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,52,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.5897619128227234],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,52,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9499607086181641],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,50,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.6076213121414185],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,50,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9565738439559937],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,46,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.6424492001533508],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,46,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9481638073921204],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,51,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.598724365234375],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,51,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9636716842651367],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,41,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.6839248538017273],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,41,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9649507999420166],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,40,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.6919047236442566],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,40,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9128440618515015],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,66,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.4607262909412384],0,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,66,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9550032615661621],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,47,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.6338661909103394],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,47,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9382302761077881],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,56,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.5533698201179504],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,56,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9424009323120117],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,54,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.5716627836227417],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,54,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9744267463684082],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,20,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.772749662399292],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,20,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9744237661361694],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,21,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727291584014893],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,21,A141,A153,2,A172,2,A191,A202,female,OrigionalTC0
[0.9673800468444824],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,38,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7075226306915283],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,38,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9002657532691956],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,70,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.4240657687187195],0,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,70,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9157564043998718],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,65,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.46997418999671936],0,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,65,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.8860986232757568],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,74,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.38822227716445923],0,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,74,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9067450165748596],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,68,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.4423174560070038],0,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,68,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9609774351119995],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,43,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.6676388382911682],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,43,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9403496980667114],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,55,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.5625376105308533],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,55,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.918580174446106],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,64,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.47924286127090454],0,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,64,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.8822927474975586],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,75,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.3794313669204712],0,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,75,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9744296073913574],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,19,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727702260017395],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,19,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9239700436592102],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,62,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.4978165924549103],0,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,62,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9314428567886353],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,59,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.5256726741790771],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,59,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[8.183310455933679e-07],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,67,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[3.5504484685588977e-07],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,67,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.0005935728549957275],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,22,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.0002365708351135254],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,22,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[1.14087470137747e-05],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,49,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[4.7835660552664194e-06],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,49,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[2.048934402409941e-05],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,45,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[8.525986231688876e-06],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,45,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[6.352528544084635e-06],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,53,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[2.6838570192921907e-06],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,53,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[8.856365457177162e-05],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,35,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[3.615992682171054e-05],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,35,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[1.9695437458722154e-06],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,61,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[8.448384392067965e-07],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,61,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.0002467036247253418],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,28,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[9.941823373083025e-05],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,28,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.0003826320171356201],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,25,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00015336275100708008],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,25,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.0004429817199707031],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,24,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00017714500427246094],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,24,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[2.280019998579519e-06],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,60,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[9.761615729075857e-07],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,60,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00013741850852966309],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,32,A142,A151,3,A174,2,A192,A202,male,OrigionalTC1
[5.577915726462379e-05],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,32,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[2.371925802435726e-05],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,44,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[9.85129827313358e-06],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,44,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00015908479690551758],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,31,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[6.4449617639184e-05],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,31,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[1.3207194569986314e-05],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,48,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[5.527136636374053e-06],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,48,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.0003306269645690918],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,26,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00013267993927001953],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,26,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[7.650363841094077e-05],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,36,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[3.1295330700231716e-05],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,36,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[4.931336297886446e-05],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,39,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[2.0287787265260704e-05],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,39,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[3.178679617121816e-05],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,42,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[1.3151929124433082e-05],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,42,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00010252452193526551],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,34,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[4.178076414973475e-05],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,34,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[1.4696746575282305e-06],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,63,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[6.328145332190616e-07],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,63,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.0002856254577636719],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,27,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[0.00011487174197100103],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,27,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00018411874771118164],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,30,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[7.446777453878894e-05],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,30,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[3.537171551215579e-06],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,57,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[1.5057988775879494e-06],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,57,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[0.00011868624278577045],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,33,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[4.827527664019726e-05],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,33,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[6.608599505852908e-05],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,37,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[2.7085116016678512e-05],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,37,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
[3.0555086141248466e-06],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,58,A142,A151,3,A174,2,A192,A202,male,PerturbTC1
[1.3032223478148808e-06],0,[0.00013741850852966309],0,A14,7,A33,A43,2376,A63,A74,3,A102,3,A124,58,A142,A151,3,A174,2,A192,A202,female,PerturbTC1
