Perturb_ModelPred,Perturb_PredValue,Expected_ModelPred,Expected_PredValue,age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,TC
[0.016859829425811768],0,[0.03615185618400574],0,24,Private,HS-grad,9,Divorced,Handlers-cleaners,Wife,Other,Male,0,115,35,United-States,PerturbTC1
[0.009755551815032959],0,[0.03615185618400574],0,24,Private,HS-grad,9,Divorced,Handlers-cleaners,Wife,Other,Female,0,115,35,United-States,PerturbTC1
[0.03190305829048157],0,[0.03615185618400574],0,24,Private,HS-grad,9,Divorced,Handlers-cleaners,Wife,White,Male,0,115,35,United-States,PerturbTC1
[0.018579840660095215],0,[0.03615185618400574],0,24,Private,HS-grad,9,Divorced,Handlers-cleaners,Wife,White,Female,0,115,35,United-States,PerturbTC1
[0.1606045365333557],0,[0.07014995813369751],0,27,Federal-gov,11th,11,Married-spouse-absent,Prof-specialty,Own-child,Black,Male,0,115,40,United-States,PerturbTC2
[0.0990317165851593],0,[0.07014995813369751],0,27,Federal-gov,11th,11,Married-spouse-absent,Prof-specialty,Own-child,Black,Female,0,115,40,United-States,PerturbTC2
[0.21200919151306152],0,[0.07014995813369751],0,27,Federal-gov,11th,11,Married-spouse-absent,Prof-specialty,Own-child,Asian-Pac-Islander,Male,0,115,40,United-States,PerturbTC2
[0.13387197256088257],0,[0.07014995813369751],0,27,Federal-gov,11th,11,Married-spouse-absent,Prof-specialty,Own-child,Asian-Pac-Islander,Female,0,115,40,United-States,PerturbTC2
[0.11607912182807922],0,[0.07014995813369751],0,27,Federal-gov,11th,11,Married-spouse-absent,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,0,115,40,United-States,PerturbTC2
[0.07014995813369751],0,[0.07014995813369751],0,27,Federal-gov,11th,11,Married-spouse-absent,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,0,115,40,United-States,OrigionalTC2
[0.1095377504825592],0,[0.07014995813369751],0,27,Federal-gov,11th,11,Married-spouse-absent,Prof-specialty,Own-child,Other,Male,0,115,40,United-States,PerturbTC2
[0.06600356101989746],0,[0.07014995813369751],0,27,Federal-gov,11th,11,Married-spouse-absent,Prof-specialty,Own-child,Other,Female,0,115,40,United-States,PerturbTC2
[0.19119185209274292],0,[0.07014995813369751],0,27,Federal-gov,11th,11,Married-spouse-absent,Prof-specialty,Own-child,White,Male,0,115,40,United-States,PerturbTC2
[0.11956280469894409],0,[0.07014995813369751],0,27,Federal-gov,11th,11,Married-spouse-absent,Prof-specialty,Own-child,White,Female,0,115,40,United-States,PerturbTC2
[0.04937183856964111],0,[0.032311856746673584],0,28,Local-gov,Masters,13,Separated,Other-service,Unmarried,Black,Male,0,115,42,United-States,PerturbTC3
[0.028971701860427856],0,[0.032311856746673584],0,28,Local-gov,Masters,13,Separated,Other-service,Unmarried,Black,Female,0,115,42,United-States,PerturbTC3
[0.06806105375289917],0,[0.032311856746673584],0,28,Local-gov,Masters,13,Separated,Other-service,Unmarried,Asian-Pac-Islander,Male,0,115,42,United-States,PerturbTC3
[0.040265798568725586],0,[0.032311856746673584],0,28,Local-gov,Masters,13,Separated,Other-service,Unmarried,Asian-Pac-Islander,Female,0,115,42,United-States,PerturbTC3
[0.0344197154045105],0,[0.032311856746673584],0,28,Local-gov,Masters,13,Separated,Other-service,Unmarried,Amer-Indian-Eskimo,Male,0,115,42,United-States,PerturbTC3
[0.020067304372787476],0,[0.032311856746673584],0,28,Local-gov,Masters,13,Separated,Other-service,Unmarried,Amer-Indian-Eskimo,Female,0,115,42,United-States,PerturbTC3
[0.032311856746673584],0,[0.032311856746673584],0,28,Local-gov,Masters,13,Separated,Other-service,Unmarried,Other,Male,0,115,42,United-States,OrigionalTC3
[0.018821239471435547],0,[0.032311856746673584],0,28,Local-gov,Masters,13,Separated,Other-service,Unmarried,Other,Female,0,115,42,United-States,PerturbTC3
[0.06029656529426575],0,[0.032311856746673584],0,28,Local-gov,Masters,13,Separated,Other-service,Unmarried,White,Male,0,115,42,United-States,PerturbTC3
[0.035551220178604126],0,[0.032311856746673584],0,28,Local-gov,Masters,13,Separated,Other-service,Unmarried,White,Female,0,115,42,United-States,PerturbTC3
[0.48325276374816895],0,[0.39894720911979675],0,30,Self-emp-inc,9th,14,Married-AF-spouse,Sales,Other-relative,Black,Male,0,115,44,United-States,PerturbTC4
[0.34948429465293884],0,[0.39894720911979675],0,30,Self-emp-inc,9th,14,Married-AF-spouse,Sales,Other-relative,Black,Female,0,115,44,United-States,PerturbTC4
[0.5680418610572815],1,[0.39894720911979675],0,30,Self-emp-inc,9th,14,Married-AF-spouse,Sales,Other-relative,Asian-Pac-Islander,Male,0,115,44,United-States,PerturbTC4
[0.43034929037094116],0,[0.39894720911979675],0,30,Self-emp-inc,9th,14,Married-AF-spouse,Sales,Other-relative,Asian-Pac-Islander,Female,0,115,44,United-States,PerturbTC4
[0.3909376859664917],0,[0.39894720911979675],0,30,Self-emp-inc,9th,14,Married-AF-spouse,Sales,Other-relative,Amer-Indian-Eskimo,Male,0,115,44,United-States,PerturbTC4
[0.26940083503723145],0,[0.39894720911979675],0,30,Self-emp-inc,9th,14,Married-AF-spouse,Sales,Other-relative,Amer-Indian-Eskimo,Female,0,115,44,United-States,PerturbTC4
[0.3754870593547821],0,[0.39894720911979675],0,30,Self-emp-inc,9th,14,Married-AF-spouse,Sales,Other-relative,Other,Male,0,115,44,United-States,PerturbTC4
[0.2567289471626282],0,[0.39894720911979675],0,30,Self-emp-inc,9th,14,Married-AF-spouse,Sales,Other-relative,Other,Female,0,115,44,United-States,PerturbTC4
[0.5360472202301025],1,[0.39894720911979675],0,30,Self-emp-inc,9th,14,Married-AF-spouse,Sales,Other-relative,White,Male,0,115,44,United-States,PerturbTC4
[0.39894720911979675],0,[0.39894720911979675],0,30,Self-emp-inc,9th,14,Married-AF-spouse,Sales,Other-relative,White,Female,0,115,44,United-States,OrigionalTC4
[0.5794934630393982],1,[0.5794934630393982],1,37,Without-pay,Some-college,15,Widowed,Transport-moving,Not-in-family,Black,Male,0,115,50,United-States,OrigionalTC5
[0.42407771944999695],0,[0.5794934630393982],1,37,Without-pay,Some-college,15,Widowed,Transport-moving,Not-in-family,Black,Female,0,115,50,United-States,PerturbTC5
[0.6596143245697021],1,[0.5794934630393982],1,37,Without-pay,Some-college,15,Widowed,Transport-moving,Not-in-family,Asian-Pac-Islander,Male,0,115,50,United-States,PerturbTC5
[0.5267950296401978],1,[0.5794934630393982],1,37,Without-pay,Some-college,15,Widowed,Transport-moving,Not-in-family,Asian-Pac-Islander,Female,0,115,50,United-States,PerturbTC5
[0.48608770966529846],0,[0.5794934630393982],1,37,Without-pay,Some-college,15,Widowed,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,0,115,50,United-States,PerturbTC5
[0.3520691394805908],0,[0.5794934630393982],1,37,Without-pay,Some-college,15,Widowed,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,0,115,50,United-States,PerturbTC5
[0.46977710723876953],0,[0.5794934630393982],1,37,Without-pay,Some-college,15,Widowed,Transport-moving,Not-in-family,Other,Male,0,115,50,United-States,PerturbTC5
[0.3373039960861206],0,[0.5794934630393982],1,37,Without-pay,Some-college,15,Widowed,Transport-moving,Not-in-family,Other,Female,0,115,50,United-States,PerturbTC5
[0.6299839615821838],1,[0.5794934630393982],1,37,Without-pay,Some-college,15,Widowed,Transport-moving,Not-in-family,White,Male,0,115,50,United-States,PerturbTC5
[0.483863890171051],0,[0.5794934630393982],1,37,Without-pay,Some-college,15,Widowed,Transport-moving,Not-in-family,White,Female,0,115,50,United-States,PerturbTC5
[0.026098161935806274],0,[0.024758249521255493],0,89,State-gov,Assoc-acdm,1,Never-married,Farming-fishing,Husband,Black,Male,0,115,65,United-States,PerturbTC6
[0.024758249521255493],0,[0.024758249521255493],0,89,State-gov,Assoc-acdm,1,Never-married,Farming-fishing,Husband,Black,Female,0,115,65,United-States,PerturbTC6
[0.0400107204914093],0,[0.024758249521255493],0,89,State-gov,Assoc-acdm,1,Never-married,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,115,65,United-States,PerturbTC6
[0.024758249521255493],0,[0.024758249521255493],0,89,State-gov,Assoc-acdm,1,Never-married,Farming-fishing,Husband,Asian-Pac-Islander,Female,0,115,65,United-States,OrigionalTC6
[0.024758249521255493],0,[0.024758249521255493],0,89,State-gov,Assoc-acdm,1,Never-married,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,0,115,65,United-States,PerturbTC6
[0.024758249521255493],0,[0.024758249521255493],0,89,State-gov,Assoc-acdm,1,Never-married,Farming-fishing,Husband,Amer-Indian-Eskimo,Female,0,115,65,United-States,PerturbTC6
[0.024758249521255493],0,[0.024758249521255493],0,89,State-gov,Assoc-acdm,1,Never-married,Farming-fishing,Husband,Other,Male,0,115,65,United-States,PerturbTC6
[0.024758249521255493],0,[0.024758249521255493],0,89,State-gov,Assoc-acdm,1,Never-married,Farming-fishing,Husband,Other,Female,0,115,65,United-States,PerturbTC6
[0.032991498708724976],0,[0.024758249521255493],0,89,State-gov,Assoc-acdm,1,Never-married,Farming-fishing,Husband,White,Male,0,115,65,United-States,PerturbTC6
[0.024758249521255493],0,[0.024758249521255493],0,89,State-gov,Assoc-acdm,1,Never-married,Farming-fishing,Husband,White,Female,0,115,65,United-States,PerturbTC6
[0.00419887900352478],0,[0.005182504653930664],0,17,Self-emp-not-inc,7th-8th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,Black,Male,0,115,31,United-States,PerturbTC7
[0.004530072212219238],0,[0.005182504653930664],0,17,Self-emp-not-inc,7th-8th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,Black,Female,0,115,31,United-States,PerturbTC7
[0.005894362926483154],0,[0.005182504653930664],0,17,Self-emp-not-inc,7th-8th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Male,0,115,31,United-States,PerturbTC7
[0.004097431898117065],0,[0.005182504653930664],0,17,Self-emp-not-inc,7th-8th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,0,115,31,United-States,PerturbTC7
[0.0038177073001861572],0,[0.005182504653930664],0,17,Self-emp-not-inc,7th-8th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,0,115,31,United-States,PerturbTC7
[0.004141360521316528],0,[0.005182504653930664],0,17,Self-emp-not-inc,7th-8th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Female,0,115,31,United-States,PerturbTC7
[0.0034509897232055664],0,[0.005182504653930664],0,17,Self-emp-not-inc,7th-8th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,Other,Male,0,115,31,United-States,PerturbTC7
[0.003743797540664673],0,[0.005182504653930664],0,17,Self-emp-not-inc,7th-8th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,Other,Female,0,115,31,United-States,PerturbTC7
[0.005182504653930664],0,[0.005182504653930664],0,17,Self-emp-not-inc,7th-8th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Male,0,115,31,United-States,OrigionalTC7
[0.004396647214889526],0,[0.005182504653930664],0,17,Self-emp-not-inc,7th-8th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Female,0,115,31,United-States,PerturbTC7
[0.2648908495903015],0,[0.19828307628631592],0,22,Federal-gov,Doctorate,13,Married-AF-spouse,Tech-support,Not-in-family,Black,Male,0,115,35,United-States,PerturbTC8
[0.1715056300163269],0,[0.19828307628631592],0,22,Federal-gov,Doctorate,13,Married-AF-spouse,Tech-support,Not-in-family,Black,Female,0,115,35,United-States,PerturbTC8
[0.336301326751709],0,[0.19828307628631592],0,22,Federal-gov,Doctorate,13,Married-AF-spouse,Tech-support,Not-in-family,Asian-Pac-Islander,Male,0,115,35,United-States,PerturbTC8
[0.22546231746673584],0,[0.19828307628631592],0,22,Federal-gov,Doctorate,13,Married-AF-spouse,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,115,35,United-States,PerturbTC8
[0.19828307628631592],0,[0.19828307628631592],0,22,Federal-gov,Doctorate,13,Married-AF-spouse,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,0,115,35,United-States,OrigionalTC8
[0.12440592050552368],0,[0.19828307628631592],0,22,Federal-gov,Doctorate,13,Married-AF-spouse,Tech-support,Not-in-family,Amer-Indian-Eskimo,Female,0,115,35,United-States,PerturbTC8
[0.18809524178504944],0,[0.19828307628631592],0,22,Federal-gov,Doctorate,13,Married-AF-spouse,Tech-support,Not-in-family,Other,Male,0,115,35,United-States,PerturbTC8
[0.1174578070640564],0,[0.19828307628631592],0,22,Federal-gov,Doctorate,13,Married-AF-spouse,Tech-support,Not-in-family,Other,Female,0,115,35,United-States,PerturbTC8
[0.3080507516860962],0,[0.19828307628631592],0,22,Federal-gov,Doctorate,13,Married-AF-spouse,Tech-support,Not-in-family,White,Male,0,115,35,United-States,PerturbTC8
[0.20366540551185608],0,[0.19828307628631592],0,22,Federal-gov,Doctorate,13,Married-AF-spouse,Tech-support,Not-in-family,White,Female,0,115,35,United-States,PerturbTC8
[0.11274778842926025],0,[0.04483044147491455],0,24,Local-gov,Assoc-voc,14,Widowed,Craft-repair,Husband,Black,Male,0,115,40,United-States,PerturbTC9
[0.06803527474403381],0,[0.04483044147491455],0,24,Local-gov,Assoc-voc,14,Widowed,Craft-repair,Husband,Black,Female,0,115,40,United-States,PerturbTC9
[0.15160152316093445],0,[0.04483044147491455],0,24,Local-gov,Assoc-voc,14,Widowed,Craft-repair,Husband,Asian-Pac-Islander,Male,0,115,40,United-States,PerturbTC9
[0.09309747815132141],0,[0.04483044147491455],0,24,Local-gov,Assoc-voc,14,Widowed,Craft-repair,Husband,Asian-Pac-Islander,Female,0,115,40,United-States,PerturbTC9
[0.08022204041481018],0,[0.04483044147491455],0,24,Local-gov,Assoc-voc,14,Widowed,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0,115,40,United-States,PerturbTC9
[0.04771465063095093],0,[0.04483044147491455],0,24,Local-gov,Assoc-voc,14,Widowed,Craft-repair,Husband,Amer-Indian-Eskimo,Female,0,115,40,United-States,PerturbTC9
[0.07552874088287354],0,[0.04483044147491455],0,24,Local-gov,Assoc-voc,14,Widowed,Craft-repair,Husband,Other,Male,0,115,40,United-States,PerturbTC9
[0.04483044147491455],0,[0.04483044147491455],0,24,Local-gov,Assoc-voc,14,Widowed,Craft-repair,Husband,Other,Female,0,115,40,United-States,OrigionalTC9
[0.1356942355632782],0,[0.04483044147491455],0,24,Local-gov,Assoc-voc,14,Widowed,Craft-repair,Husband,White,Male,0,115,40,United-States,PerturbTC9
[0.08273032307624817],0,[0.04483044147491455],0,24,Local-gov,Assoc-voc,14,Widowed,Craft-repair,Husband,White,Female,0,115,40,United-States,PerturbTC9
[0.5770924091339111],1,[0.6276859641075134],1,27,Self-emp-inc,Prof-school,15,Never-married,Protective-serv,Wife,Black,Male,0,115,42,United-States,PerturbTC10
[0.43943774700164795],0,[0.6276859641075134],1,27,Self-emp-inc,Prof-school,15,Never-married,Protective-serv,Wife,Black,Female,0,115,42,United-States,PerturbTC10
[0.6574001312255859],1,[0.6276859641075134],1,27,Self-emp-inc,Prof-school,15,Never-married,Protective-serv,Wife,Asian-Pac-Islander,Male,0,115,42,United-States,PerturbTC10
[0.524340033531189],1,[0.6276859641075134],1,27,Self-emp-inc,Prof-school,15,Never-married,Protective-serv,Wife,Asian-Pac-Islander,Female,0,115,42,United-States,PerturbTC10
[0.483628511428833],0,[0.6276859641075134],1,27,Self-emp-inc,Prof-school,15,Never-married,Protective-serv,Wife,Amer-Indian-Eskimo,Male,0,115,42,United-States,PerturbTC10
[0.349826455116272],0,[0.6276859641075134],1,27,Self-emp-inc,Prof-school,15,Never-married,Protective-serv,Wife,Amer-Indian-Eskimo,Female,0,115,42,United-States,PerturbTC10
[0.4673252999782562],0,[0.6276859641075134],1,27,Self-emp-inc,Prof-school,15,Never-married,Protective-serv,Wife,Other,Male,0,115,42,United-States,PerturbTC10
[0.33510661125183105],0,[0.6276859641075134],1,27,Self-emp-inc,Prof-school,15,Never-married,Protective-serv,Wife,Other,Female,0,115,42,United-States,PerturbTC10
[0.6276859641075134],1,[0.6276859641075134],1,27,Self-emp-inc,Prof-school,15,Never-married,Protective-serv,Wife,White,Male,0,115,42,United-States,OrigionalTC10
[0.49200305342674255],0,[0.6276859641075134],1,27,Self-emp-inc,Prof-school,15,Never-married,Protective-serv,Wife,White,Female,0,115,42,United-States,PerturbTC10
[0.027473747730255127],0,[0.03820684552192688],0,28,Without-pay,5th-6th,1,Married-civ-spouse,Armed-Forces,Own-child,Black,Male,0,115,44,United-States,PerturbTC11
[0.01596975326538086],0,[0.03820684552192688],0,28,Without-pay,5th-6th,1,Married-civ-spouse,Armed-Forces,Own-child,Black,Female,0,115,44,United-States,PerturbTC11
[0.03820684552192688],0,[0.03820684552192688],0,28,Without-pay,5th-6th,1,Married-civ-spouse,Armed-Forces,Own-child,Asian-Pac-Islander,Male,0,115,44,United-States,OrigionalTC11
[0.022311776876449585],0,[0.03820684552192688],0,28,Without-pay,5th-6th,1,Married-civ-spouse,Armed-Forces,Own-child,Asian-Pac-Islander,Female,0,115,44,United-States,PerturbTC11
[0.019020646810531616],0,[0.03820684552192688],0,28,Without-pay,5th-6th,1,Married-civ-spouse,Armed-Forces,Own-child,Amer-Indian-Eskimo,Male,0,115,44,United-States,PerturbTC11
[0.011016130447387695],0,[0.03820684552192688],0,28,Without-pay,5th-6th,1,Married-civ-spouse,Armed-Forces,Own-child,Amer-Indian-Eskimo,Female,0,115,44,United-States,PerturbTC11
[0.01783841848373413],0,[0.03820684552192688],0,28,Without-pay,5th-6th,1,Married-civ-spouse,Armed-Forces,Own-child,Other,Male,0,115,44,United-States,PerturbTC11
[0.010326236486434937],0,[0.03820684552192688],0,28,Without-pay,5th-6th,1,Married-civ-spouse,Armed-Forces,Own-child,Other,Female,0,115,44,United-States,PerturbTC11
[0.03372490406036377],0,[0.03820684552192688],0,28,Without-pay,5th-6th,1,Married-civ-spouse,Armed-Forces,Own-child,White,Male,0,115,44,United-States,PerturbTC11
[0.01965630054473877],0,[0.03820684552192688],0,28,Without-pay,5th-6th,1,Married-civ-spouse,Armed-Forces,Own-child,White,Female,0,115,44,United-States,PerturbTC11
[0.009913444519042969],0,[0.006407409906387329],0,30,State-gov,10th,4,Divorced,Priv-house-serv,Unmarried,Black,Male,0,115,50,United-States,PerturbTC12
[0.007007092237472534],0,[0.006407409906387329],0,30,State-gov,10th,4,Divorced,Priv-house-serv,Unmarried,Black,Female,0,115,50,United-States,PerturbTC12
[0.013884246349334717],0,[0.006407409906387329],0,30,State-gov,10th,4,Divorced,Priv-house-serv,Unmarried,Asian-Pac-Islander,Male,0,115,50,United-States,PerturbTC12
[0.008023619651794434],0,[0.006407409906387329],0,30,State-gov,10th,4,Divorced,Priv-house-serv,Unmarried,Asian-Pac-Islander,Female,0,115,50,United-States,PerturbTC12
[0.0068253278732299805],0,[0.006407409906387329],0,30,State-gov,10th,4,Divorced,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Male,0,115,50,United-States,PerturbTC12
[0.006407409906387329],0,[0.006407409906387329],0,30,State-gov,10th,4,Divorced,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Female,0,115,50,United-States,OrigionalTC12
[0.006396114826202393],0,[0.006407409906387329],0,30,State-gov,10th,4,Divorced,Priv-house-serv,Unmarried,Other,Male,0,115,50,United-States,PerturbTC12
[0.005793482065200806],0,[0.006407409906387329],0,30,State-gov,10th,4,Divorced,Priv-house-serv,Unmarried,Other,Female,0,115,50,United-States,PerturbTC12
[0.012219339609146118],0,[0.006407409906387329],0,30,State-gov,10th,4,Divorced,Priv-house-serv,Unmarried,White,Male,0,115,50,United-States,PerturbTC12
[0.007056385278701782],0,[0.006407409906387329],0,30,State-gov,10th,4,Divorced,Priv-house-serv,Unmarried,White,Female,0,115,50,United-States,PerturbTC12
[0.37942376732826233],0,[0.18421894311904907],0,37,Private,Preschool,11,Separated,Adm-clerical,Other-relative,Black,Male,0,115,65,United-States,PerturbTC13
[0.25993871688842773],0,[0.18421894311904907],0,37,Private,Preschool,11,Separated,Adm-clerical,Other-relative,Black,Female,0,115,65,United-States,PerturbTC13
[0.4622930586338043],0,[0.18421894311904907],0,37,Private,Preschool,11,Separated,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,0,115,65,United-States,PerturbTC13
[0.3306146264076233],0,[0.18421894311904907],0,37,Private,Preschool,11,Separated,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,0,115,65,United-States,PerturbTC13
[0.2955971360206604],0,[0.18421894311904907],0,37,Private,Preschool,11,Separated,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Male,0,115,65,United-States,PerturbTC13
[0.19424715638160706],0,[0.18421894311904907],0,37,Private,Preschool,11,Separated,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Female,0,115,65,United-States,PerturbTC13
[0.28216901421546936],0,[0.18421894311904907],0,37,Private,Preschool,11,Separated,Adm-clerical,Other-relative,Other,Male,0,115,65,United-States,PerturbTC13
[0.18421894311904907],0,[0.18421894311904907],0,37,Private,Preschool,11,Separated,Adm-clerical,Other-relative,Other,Female,0,115,65,United-States,OrigionalTC13
[0.43032097816467285],0,[0.18421894311904907],0,37,Private,Preschool,11,Separated,Adm-clerical,Other-relative,White,Male,0,115,65,United-States,PerturbTC13
[0.30262404680252075],0,[0.18421894311904907],0,37,Private,Preschool,11,Separated,Adm-clerical,Other-relative,White,Female,0,115,65,United-States,PerturbTC13
[0.5199036002159119],1,[0.45743778347969055],0,89,Federal-gov,12th,14,Divorced,Exec-managerial,Not-in-family,Black,Male,0,115,31,United-States,PerturbTC14
[0.3643881678581238],0,[0.45743778347969055],0,89,Federal-gov,12th,14,Divorced,Exec-managerial,Not-in-family,Black,Female,0,115,31,United-States,PerturbTC14
[0.6274582743644714],1,[0.45743778347969055],0,89,Federal-gov,12th,14,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,115,31,United-States,PerturbTC14
[0.4713570475578308],0,[0.45743778347969055],0,89,Federal-gov,12th,14,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,115,31,United-States,PerturbTC14
[0.44852617383003235],0,[0.45743778347969055],0,89,Federal-gov,12th,14,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,0,115,31,United-States,PerturbTC14
[0.3009765148162842],0,[0.45743778347969055],0,89,Federal-gov,12th,14,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,0,115,31,United-States,PerturbTC14
[0.45743778347969055],0,[0.45743778347969055],0,89,Federal-gov,12th,14,Divorced,Exec-managerial,Not-in-family,Other,Male,0,115,31,United-States,OrigionalTC14
[0.3085968494415283],0,[0.45743778347969055],0,89,Federal-gov,12th,14,Divorced,Exec-managerial,Not-in-family,Other,Female,0,115,31,United-States,PerturbTC14
[0.5796034336090088],1,[0.45743778347969055],0,89,Federal-gov,12th,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,115,31,United-States,PerturbTC14
[0.4219241142272949],0,[0.45743778347969055],0,89,Federal-gov,12th,14,Divorced,Exec-managerial,Not-in-family,White,Female,0,115,31,United-States,PerturbTC14
[0.02297055721282959],0,[0.008608728647232056],0,17,Local-gov,1st-4th,15,Married-AF-spouse,Handlers-cleaners,Own-child,Black,Male,0,115,32,United-States,PerturbTC15
[0.01332634687423706],0,[0.008608728647232056],0,17,Local-gov,1st-4th,15,Married-AF-spouse,Handlers-cleaners,Own-child,Black,Female,0,115,32,United-States,PerturbTC15
[0.032002270221710205],0,[0.008608728647232056],0,17,Local-gov,1st-4th,15,Married-AF-spouse,Handlers-cleaners,Own-child,Asian-Pac-Islander,Male,0,115,32,United-States,PerturbTC15
[0.018638402223587036],0,[0.008608728647232056],0,17,Local-gov,1st-4th,15,Married-AF-spouse,Handlers-cleaners,Own-child,Asian-Pac-Islander,Female,0,115,32,United-States,PerturbTC15
[0.01588040590286255],0,[0.008608728647232056],0,17,Local-gov,1st-4th,15,Married-AF-spouse,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,0,115,32,United-States,PerturbTC15
[0.009184956550598145],0,[0.008608728647232056],0,17,Local-gov,1st-4th,15,Married-AF-spouse,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Female,0,115,32,United-States,PerturbTC15
