Expected_ModelPred,Expected_PredValue,age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
[1.0],1,22,Private,Doctorate,15,Married-AF-spouse,Adm-clerical,Wife,Black,Female,12099,1894,40,Germany
[1.0],1,28,Without-pay,Assoc-voc,4,Married-AF-spouse,Exec-managerial,Unmarried,Black,Female,12099,1828,31,Germany
[0.5590300559997559],1,89,Private,Prof-school,15,Married-AF-spouse,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Female,0,115,50,Germany
[1.0],1,30,Private,5th-6th,1,Separated,Prof-specialty,Not-in-family,Black,Male,12099,1587,50,Germany
[1.0],1,37,State-gov,10th,14,Married-civ-spouse,Other-service,Other-relative,Asian-Pac-Islander,Female,12099,2008,31,Germany
[0.9990290403366089],1,30,Without-pay,Preschool,9,Married-AF-spouse,Sales,Unmarried,Black,Female,4386,1587,42,Germany
[0.9998700618743896],1,37,Self-emp-not-inc,12th,13,Never-married,Transport-moving,Own-child,Black,Male,4386,1816,50,Germany
[0.9995055198669434],1,22,Self-emp-inc,1st-4th,15,Widowed,Farming-fishing,Not-in-family,Amer-Indian-Eskimo,Male,4386,1828,35,Germany
[0.85771644115448],1,24,Without-pay,Bachelors,1,Widowed,Machine-op-inspct,Not-in-family,Black,Female,4386,115,35,Iran
[0.9995683431625366],1,28,Federal-gov,HS-grad,9,Divorced,Tech-support,Wife,Asian-Pac-Islander,Male,3820,1564,42,Iran
[0.9993680119514465],1,89,Local-gov,11th,13,Never-married,Craft-repair,Own-child,Other,Male,3103,1587,65,Iran
[1.0],1,27,State-gov,Masters,14,Married-civ-spouse,Protective-serv,Unmarried,Amer-Indian-Eskimo,Male,12099,1816,31,Iran
[0.9994422197341919],1,30,Private,9th,15,Married-spouse-absent,Armed-Forces,Other-relative,Other,Male,4386,1828,32,Iran
[0.9932222366333008],1,37,Self-emp-inc,Some-college,11,Separated,Priv-house-serv,Husband,Other,Male,3103,2008,35,Iran
[0.975771427154541],1,17,Self-emp-not-inc,Assoc-acdm,4,Married-AF-spouse,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,3820,2507,40,Iran
[1.0],1,22,Local-gov,7th-8th,14,Never-married,Exec-managerial,Not-in-family,Black,Male,12099,1894,44,Iran
[0.8331609964370728],1,89,Self-emp-inc,Doctorate,15,Married-AF-spouse,Handlers-cleaners,Wife,Black,Male,0,115,50,Iran
[0.995145857334137],1,28,Private,Assoc-voc,11,Never-married,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Male,3103,1587,65,Iran
[1.0],1,37,Self-emp-not-inc,Prof-school,1,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Male,12099,1587,44,Iran
[0.9980325698852539],1,89,State-gov,5th-6th,4,Divorced,Sales,Husband,Asian-Pac-Islander,Female,3820,1564,50,Iran
[0.9865709543228149],1,17,Local-gov,10th,14,Separated,Transport-moving,Own-child,Black,Male,4386,115,32,Iran
[0.9061646461486816],1,17,Without-pay,Preschool,4,Married-AF-spouse,Farming-fishing,Husband,Black,Male,3103,2008,42,Iran
[1.0],1,30,Without-pay,12th,11,Married-AF-spouse,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,12099,1587,42,Iran
[0.7872558832168579],1,22,Self-emp-not-inc,1st-4th,1,Widowed,Tech-support,Husband,Other,Female,3103,1894,35,Iran
[0.987357497215271],1,24,Federal-gov,Bachelors,9,Divorced,Craft-repair,Not-in-family,Black,Female,3820,115,42,Philippines
[0.9999955892562866],1,27,Without-pay,HS-grad,13,Widowed,Protective-serv,Wife,Asian-Pac-Islander,Male,4386,1564,65,Philippines
[1.0],1,28,State-gov,11th,14,Never-married,Armed-Forces,Own-child,Other,Female,12099,1587,31,Philippines
[0.9996037483215332],1,89,Private,Masters,15,Married-civ-spouse,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Male,3103,1816,32,Philippines
[0.9163118600845337],1,17,Local-gov,9th,1,Married-spouse-absent,Adm-clerical,Other-relative,Black,Male,3820,1828,35,Philippines
[0.999414324760437],1,22,Self-emp-inc,Some-college,11,Separated,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,3820,2008,40,Philippines
[1.0],1,30,Self-emp-not-inc,Assoc-acdm,4,Married-AF-spouse,Handlers-cleaners,Unmarried,Black,Male,12099,2507,44,Philippines
[0.9999994039535522],1,37,Federal-gov,7th-8th,15,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,4386,1894,50,Philippines
[0.3337748646736145],0,28,Without-pay,Doctorate,14,Married-civ-spouse,Other-service,Husband,Other,Female,0,115,42,Philippines
[0.9987789392471313],1,28,Private,Assoc-voc,9,Married-civ-spouse,Sales,Husband,Other,Female,3103,2008,44,Philippines
[0.9965294599533081],1,17,Self-emp-not-inc,Prof-school,1,Widowed,Transport-moving,Wife,Asian-Pac-Islander,Male,3820,2008,35,Philippines
[0.9997422695159912],1,89,State-gov,5th-6th,11,Widowed,Farming-fishing,Husband,Asian-Pac-Islander,Male,4386,1828,31,Philippines
[0.9694297313690186],1,17,Local-gov,10th,1,Divorced,Machine-op-inspct,Wife,Asian-Pac-Islander,Male,3820,1564,35,Philippines
[1.0],1,27,Federal-gov,Preschool,15,Never-married,Tech-support,Other-relative,Other,Female,12099,1828,40,Philippines
[0.9943147897720337],1,28,Self-emp-inc,12th,1,Separated,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,3820,1587,65,Philippines
[0.9964343309402466],1,22,Private,1st-4th,1,Divorced,Protective-serv,Husband,Black,Female,4386,2507,40,Philippines
[0.9783254265785217],1,89,Federal-gov,Bachelors,9,Widowed,Armed-Forces,Not-in-family,Black,Female,3103,115,42,Poland
[0.9999740123748779],1,24,Without-pay,HS-grad,13,Divorced,Priv-house-serv,Wife,Asian-Pac-Islander,Male,4386,1564,65,Poland
[0.993617832660675],1,27,State-gov,11th,14,Married-spouse-absent,Adm-clerical,Own-child,Other,Female,3820,1587,31,Poland
[1.0],1,28,Private,Masters,15,Separated,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,12099,1816,32,Poland
[0.9623023271560669],1,30,Local-gov,9th,1,Married-AF-spouse,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Male,3820,1828,35,Poland
