# ACTS Test Suite Generation: Tue Jan 25 11:38:13 EST 2022
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 20
# Maximum number of values per parameter: 10
# Number of configurations: 81
checkingstatus,duration,history,purpose,amount,savings,employ,installment,others,residence,property,age,otherplans,housing,cards,job,liable,tele,foreign,sex
A13,6,A31,A41,0,A65,A74,3,A103,4,A124,3,A141,A151,4,A173,2,A191,A202,male
A12,7,A32,A41,2,A64,A71,4,A103,2,A122,4,A141,A152,3,A172,2,A192,A202,female
A13,0,A33,A49,2,A61,A73,3,A102,3,A123,6,A142,A153,4,A174,2,A191,A202,female
A14,1,A30,A49,1,A65,A71,2,A101,2,A122,7,A143,A151,1,A172,1,A192,A201,male
A11,2,A31,A49,3,A61,A72,1,A103,1,A124,0,A141,A152,3,A173,2,A192,A202,male
A12,3,A34,A49,0,A63,A75,4,A101,4,A123,1,A141,A153,2,A171,2,A191,A201,female
A11,4,A32,A49,1,A62,A74,2,A101,2,A121,2,A141,A151,4,A172,1,A192,A201,female
A11,5,A32,A49,1,A65,A75,3,A101,4,A121,3,A143,A152,3,A174,2,A191,A201,male
A12,6,A33,A49,3,A61,A72,4,A101,4,A122,4,A143,A152,2,A171,2,A191,A201,female
A13,7,A32,A49,0,A64,A74,2,A101,4,A122,5,A141,A151,2,A171,1,A192,A201,female
A11,0,A30,A44,1,A62,A71,1,A102,1,A123,7,A142,A152,1,A171,2,A191,A202,female
A12,1,A31,A44,2,A63,A72,3,A101,3,A122,0,A143,A153,3,A174,1,A192,A201,male
A14,2,A34,A44,3,A64,A74,4,A103,4,A124,1,A141,A151,4,A173,2,A191,A202,female
A13,3,A32,A44,0,A65,A75,2,A103,2,A121,2,A142,A152,2,A172,2,A191,A202,female
A13,4,A33,A44,2,A61,A73,1,A102,2,A122,3,A141,A153,2,A173,2,A192,A202,male
A12,5,A34,A44,3,A64,A71,3,A101,3,A124,4,A142,A152,2,A174,2,A191,A201,male
A11,6,A30,A44,3,A65,A73,1,A103,4,A123,5,A141,A152,4,A173,2,A192,A202,female
A13,7,A30,A44,0,A62,A74,1,A101,4,A124,6,A143,A151,2,A172,1,A191,A201,male
A14,0,A30,A45,1,A63,A71,3,A102,3,A124,0,A142,A152,1,A173,2,A191,A202,female
A13,1,A31,A45,2,A62,A72,4,A101,1,A123,1,A141,A153,3,A172,1,A192,A201,male
A11,2,A34,A45,3,A65,A75,1,A103,2,A121,2,A141,A151,4,A174,2,A192,A202,female
A12,3,A32,A45,0,A61,A73,2,A101,4,A122,3,A143,A151,2,A171,1,A192,A201,female
A14,4,A33,A45,2,A64,A74,3,A102,2,A121,4,A141,A151,3,A172,2,A192,A202,male
A12,5,A30,A45,0,A62,A74,2,A101,2,A124,5,A142,A152,2,A172,2,A192,A201,female
A14,6,A30,A45,0,A63,A74,2,A102,3,A124,6,A141,A153,3,A171,2,A191,A202,female
A14,7,A31,A45,1,A64,A71,3,A102,2,A122,7,A141,A151,4,A171,2,A191,A202,female
A14,0,A30,A410,1,A62,A71,3,A102,1,A124,0,A142,A152,1,A173,2,A191,A202,female
A13,1,A31,A410,2,A63,A72,4,A101,3,A123,1,A141,A153,3,A172,1,A192,A201,male
A11,2,A34,A410,3,A64,A75,1,A103,4,A121,2,A141,A151,4,A174,2,A191,A202,female
A12,3,A32,A410,0,A65,A73,2,A101,2,A122,3,A143,A152,2,A171,2,A192,A201,male
A13,4,A33,A410,1,A61,A74,3,A102,1,A121,4,A142,A153,3,A172,2,A192,A202,male
A12,5,A30,A410,0,A62,A71,4,A103,1,A121,5,A141,A153,3,A173,2,A191,A202,female
A11,6,A32,A410,3,A65,A72,4,A101,4,A122,6,A141,A153,4,A171,2,A191,A201,male
A14,7,A34,A410,0,A61,A72,2,A103,4,A122,7,A141,A151,1,A171,2,A192,A202,male
A14,0,A30,A48,1,A63,A71,3,A102,3,A124,0,A142,A152,1,A173,2,A191,A202,female
A13,1,A31,A48,2,A62,A72,4,A101,1,A123,1,A141,A153,3,A172,1,A192,A201,male
A11,2,A34,A48,3,A65,A75,1,A103,2,A121,2,A141,A151,4,A174,2,A192,A202,female
A12,3,A32,A48,0,A61,A73,2,A101,4,A122,3,A143,A153,2,A171,1,A192,A201,male
A11,4,A33,A48,1,A64,A74,1,A101,1,A121,4,A142,A152,3,A171,2,A191,A201,male
A14,5,A32,A48,1,A63,A72,3,A103,3,A123,5,A141,A153,1,A173,2,A192,A202,male
A11,6,A30,A48,2,A62,A72,4,A102,4,A121,6,A141,A153,2,A171,2,A191,A202,male
A11,7,A30,A48,2,A61,A74,3,A103,3,A123,7,A142,A151,3,A173,2,A191,A202,female
A14,3,A31,A49,3,A62,A71,4,A103,3,A123,2,A142,A153,4,A171,2,A192,A202,female
