# ACTS Test Suite Generation: Tue Jan 25 14:29:46 EST 2022
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 13
# Maximum number of values per parameter: 41
# Number of configurations: 676
age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
5,State-gov,5th-6th,0,Never-married,Adm-clerical,Not-in-family,Other,Male,3,6,1,Cuba
6,Private,10th,0,Married-civ-spouse,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,4,7,5,Cuba
7,Federal-gov,1st-4th,1,Married-spouse-absent,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Male,3,2,6,Cuba
0,Self-emp-inc,Preschool,2,Never-married,Prof-specialty,Husband,Other,Female,1,4,4,Cuba
1,Without-pay,12th,0,Divorced,Other-service,Other-relative,Black,Female,2,5,5,Cuba
3,Never-worked,Bachelors,2,Widowed,Sales,Wife,Asian-Pac-Islander,Female,3,6,4,Jamaica
4,Self-emp-not-inc,HS-grad,6,Married-AF-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Female,2,7,0,Jamaica
5,Local-gov,11th,1,Separated,Transport-moving,Not-in-family,Other,Male,4,2,2,Jamaica
6,Federal-gov,Masters,2,Married-AF-spouse,Farming-fishing,Other-relative,Black,Female,1,3,1,Jamaica
7,Without-pay,9th,1,Married-civ-spouse,Machine-op-inspct,Own-child,Other,Female,1,1,3,Jamaica
0,State-gov,Some-college,3,Married-civ-spouse,Tech-support,Not-in-family,Other,Female,4,2,7,Jamaica
1,Private,Assoc-acdm,3,Widowed,Protective-serv,Unmarried,Amer-Indian-Eskimo,Male,2,4,6,Jamaica
2,Self-emp-not-inc,Assoc-voc,4,Married-spouse-absent,Armed-Forces,Husband,Black,Female,3,5,2,Jamaica
3,State-gov,7th-8th,5,Separated,Priv-house-serv,Husband,Asian-Pac-Islander,Female,1,7,6,Jamaica
4,Private,Doctorate,1,Never-married,Adm-clerical,Own-child,Black,Female,1,2,5,Jamaica
5,Federal-gov,Prof-school,2,Separated,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,2,1,0,Jamaica
6,Local-gov,5th-6th,5,Divorced,Handlers-cleaners,Husband,Black,Female,3,4,7,Jamaica
7,Self-emp-inc,10th,6,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Female,4,5,0,Jamaica
0,Private,1st-4th,6,Married-AF-spouse,Other-service,Own-child,Amer-Indian-Eskimo,Female,3,6,2,Jamaica
1,Local-gov,Preschool,0,Married-spouse-absent,Sales,Own-child,Asian-Pac-Islander,Male,4,7,3,Jamaica
2,State-gov,12th,4,Married-civ-spouse,Craft-repair,Unmarried,Other,Male,3,3,5,Jamaica
4,Federal-gov,Bachelors,6,Married-spouse-absent,Transport-moving,Other-relative,Amer-Indian-Eskimo,Male,4,4,5,India
5,Never-worked,HS-grad,4,Never-married,Farming-fishing,Own-child,Black,Female,4,1,4,India
6,Self-emp-not-inc,11th,2,Divorced,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,4,6,6,India
7,Local-gov,Masters,3,Widowed,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,2,3,1,India
0,Without-pay,9th,0,Separated,Protective-serv,Wife,Amer-Indian-Eskimo,Female,3,7,1,India
1,Never-worked,Some-college,5,Married-AF-spouse,Armed-Forces,Unmarried,Other,Female,2,2,2,India
2,Self-emp-inc,Assoc-acdm,1,Married-civ-spouse,Priv-house-serv,Other-relative,Black,Male,2,6,3,India
3,Self-emp-not-inc,Assoc-voc,0,Widowed,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Male,1,3,7,India
4,Local-gov,7th-8th,3,Never-married,Exec-managerial,Wife,Other,Male,1,5,0,India
5,State-gov,Doctorate,6,Divorced,Handlers-cleaners,Unmarried,Other,Female,1,1,1,India
6,Private,Prof-school,1,Married-AF-spouse,Prof-specialty,Husband,Black,Female,3,2,4,India
7,Federal-gov,5th-6th,2,Married-civ-spouse,Other-service,Wife,Amer-Indian-Eskimo,Female,1,7,2,India
0,Never-worked,10th,4,Widowed,Sales,Not-in-family,Other,Female,1,1,6,India
1,Self-emp-inc,1st-4th,3,Never-married,Craft-repair,Husband,Amer-Indian-Eskimo,Male,1,1,7,India
2,Without-pay,Preschool,5,Married-civ-spouse,Transport-moving,Unmarried,Black,Female,3,6,0,India
3,Private,12th,1,Separated,Farming-fishing,Wife,Asian-Pac-Islander,Male,2,5,7,India
5,Self-emp-inc,Bachelors,3,Married-spouse-absent,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Male,3,3,2,Mexico
6,Without-pay,HS-grad,0,Separated,Tech-support,Other-relative,Other,Female,1,4,3,Mexico
7,Never-worked,11th,5,Married-AF-spouse,Protective-serv,Not-in-family,Black,Male,2,5,4,Mexico
0,State-gov,Masters,2,Widowed,Armed-Forces,Husband,Asian-Pac-Islander,Male,4,6,5,Mexico
1,Federal-gov,9th,6,Never-married,Priv-house-serv,Wife,Other,Male,4,2,0,Mexico
2,Local-gov,Some-college,4,Divorced,Adm-clerical,Own-child,Asian-Pac-Islander,Male,4,7,1,Mexico
3,Self-emp-not-inc,Assoc-acdm,6,Married-civ-spouse,Exec-managerial,Own-child,Other,Male,3,1,4,Mexico
4,Self-emp-inc,Assoc-voc,4,Married-AF-spouse,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Female,2,6,7,Mexico
5,Self-emp-not-inc,7th-8th,1,Widowed,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Male,2,4,1,Mexico
6,Never-worked,Doctorate,3,Married-spouse-absent,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,3,3,6,Mexico
7,Private,Prof-school,0,Married-civ-spouse,Sales,Other-relative,Other,Female,4,4,2,Mexico
0,Local-gov,5th-6th,2,Married-spouse-absent,Craft-repair,Other-relative,Asian-Pac-Islander,Male,2,5,3,Mexico
1,State-gov,10th,5,Divorced,Transport-moving,Wife,Black,Female,3,3,3,Mexico
2,Without-pay,1st-4th,0,Widowed,Farming-fishing,Not-in-family,Black,Female,4,2,3,Mexico
3,Never-worked,Preschool,1,Separated,Machine-op-inspct,Not-in-family,Black,Male,2,5,5,Mexico
4,Self-emp-inc,12th,2,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Male,1,7,6,Mexico
6,State-gov,Bachelors,4,Divorced,Protective-serv,Husband,Asian-Pac-Islander,Male,2,1,2,South
7,Federal-gov,HS-grad,3,Divorced,Armed-Forces,Unmarried,Amer-Indian-Eskimo,Female,3,3,4,South
0,Private,11th,0,Widowed,Priv-house-serv,Own-child,Other,Female,1,4,5,South
1,Without-pay,Masters,5,Married-spouse-absent,Adm-clerical,Unmarried,Black,Male,4,5,6,South
2,Never-worked,9th,3,Married-AF-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,3,6,7,South
3,Self-emp-inc,Some-college,1,Widowed,Handlers-cleaners,Other-relative,Other,Female,3,7,0,South
4,State-gov,Assoc-acdm,2,Separated,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,4,2,1,South
5,Self-emp-not-inc,Assoc-voc,6,Never-married,Other-service,Husband,Other,Female,4,4,3,South
6,Federal-gov,7th-8th,0,Married-civ-spouse,Sales,Other-relative,Amer-Indian-Eskimo,Female,2,6,4,South
7,Local-gov,Doctorate,0,Separated,Craft-repair,Own-child,Asian-Pac-Islander,Female,2,6,2,South
0,Self-emp-not-inc,Prof-school,3,Widowed,Transport-moving,Not-in-family,Asian-Pac-Islander,Female,1,7,6,South
1,Private,5th-6th,6,Separated,Farming-fishing,Husband,Black,Female,3,3,0,South
2,Local-gov,10th,5,Never-married,Machine-op-inspct,Other-relative,Amer-Indian-Eskimo,Female,2,4,1,South
3,Self-emp-not-inc,1st-4th,4,Divorced,Tech-support,Unmarried,Black,Male,2,5,5,South
4,Federal-gov,Preschool,6,Married-spouse-absent,Protective-serv,Wife,Asian-Pac-Islander,Male,1,1,3,South
5,Local-gov,12th,6,Married-AF-spouse,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Male,4,7,4,South
7,Without-pay,Bachelors,4,Married-AF-spouse,Priv-house-serv,Own-child,Other,Male,3,2,4,Puerto-Rico
0,State-gov,HS-grad,5,Married-civ-spouse,Adm-clerical,Husband,Black,Female,2,4,7,Puerto-Rico
1,Self-emp-inc,11th,2,Married-spouse-absent,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,1,1,0,Puerto-Rico
2,Never-worked,Masters,0,Separated,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,4,7,2,Puerto-Rico
3,Self-emp-not-inc,9th,1,Divorced,Prof-specialty,Not-in-family,Black,Female,3,3,2,Puerto-Rico
4,Private,Some-college,2,Widowed,Other-service,Wife,Asian-Pac-Islander,Male,1,5,1,Puerto-Rico
5,Local-gov,Assoc-acdm,6,Married-civ-spouse,Sales,Other-relative,Amer-Indian-Eskimo,Male,1,5,5,Puerto-Rico
6,Federal-gov,Assoc-voc,3,Never-married,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,2,2,6,Puerto-Rico
7,Without-pay,7th-8th,4,Married-spouse-absent,Transport-moving,Other-relative,Black,Female,3,1,5,Puerto-Rico
0,Self-emp-inc,Doctorate,5,Married-civ-spouse,Farming-fishing,Other-relative,Asian-Pac-Islander,Female,2,7,3,Puerto-Rico
1,State-gov,Prof-school,4,Married-spouse-absent,Machine-op-inspct,Husband,Asian-Pac-Islander,Female,3,6,4,Puerto-Rico
2,Never-worked,5th-6th,1,Married-AF-spouse,Tech-support,Unmarried,Other,Female,4,2,5,Puerto-Rico
3,Self-emp-not-inc,10th,1,Divorced,Protective-serv,Husband,Asian-Pac-Islander,Male,4,2,0,Puerto-Rico
4,Private,1st-4th,2,Separated,Armed-Forces,Wife,Other,Male,1,3,1,Puerto-Rico
6,Self-emp-not-inc,Preschool,3,Married-AF-spouse,Priv-house-serv,Husband,Amer-Indian-Eskimo,Male,3,3,7,Puerto-Rico
7,Federal-gov,12th,6,Widowed,Adm-clerical,Husband,Black,Female,3,1,2,Puerto-Rico
0,Without-pay,Bachelors,5,Never-married,Handlers-cleaners,Own-child,Asian-Pac-Islander,Male,3,3,7,Honduras
1,Never-worked,HS-grad,4,Married-civ-spouse,Prof-specialty,Other-relative,Other,Female,4,6,5,Honduras
2,State-gov,11th,6,Married-AF-spouse,Other-service,Wife,Black,Female,1,7,7,Honduras
3,Self-emp-not-inc,Masters,1,Divorced,Sales,Unmarried,Amer-Indian-Eskimo,Female,2,2,0,Honduras
4,Private,9th,2,Widowed,Craft-repair,Not-in-family,Black,Male,1,4,6,Honduras
5,Federal-gov,Some-college,0,Married-spouse-absent,Transport-moving,Husband,Other,Female,3,5,1,Honduras
6,Local-gov,Assoc-acdm,3,Married-spouse-absent,Farming-fishing,Husband,Black,Male,2,1,2,Honduras
7,Self-emp-inc,Assoc-voc,0,Separated,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Female,1,2,4,Honduras
5,Never-worked,7th-8th,2,Divorced,Tech-support,Husband,Black,Male,1,6,2,Honduras
1,Self-emp-not-inc,Doctorate,2,Married-civ-spouse,Protective-serv,Wife,Black,Male,1,5,3,Honduras
2,Without-pay,Prof-school,1,Never-married,Armed-Forces,Own-child,Black,Female,4,1,7,Honduras
3,Local-gov,5th-6th,3,Widowed,Priv-house-serv,Wife,Asian-Pac-Islander,Male,3,1,4,Honduras
4,Self-emp-inc,10th,3,Married-AF-spouse,Adm-clerical,Own-child,Other,Female,1,6,4,Honduras
5,Without-pay,1st-4th,5,Married-civ-spouse,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,4,4,6,Honduras
1,Private,Preschool,3,Divorced,Handlers-cleaners,Husband,Black,Female,1,5,1,Honduras
6,Self-emp-inc,12th,5,Married-spouse-absent,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,1,7,0,Honduras
0,Private,Bachelors,0,Separated,Other-service,Not-in-family,Asian-Pac-Islander,Male,3,7,0,England
2,State-gov,HS-grad,4,Married-spouse-absent,Sales,Other-relative,Other,Female,4,5,6,England
3,Federal-gov,11th,5,Married-civ-spouse,Craft-repair,Husband,Black,Male,1,3,1,England
4,Self-emp-inc,Masters,6,Never-married,Transport-moving,Wife,Amer-Indian-Eskimo,Male,2,1,7,England
5,Local-gov,9th,1,Married-AF-spouse,Farming-fishing,Unmarried,Black,Female,3,4,3,England
6,Without-pay,Some-college,2,Widowed,Machine-op-inspct,Own-child,Asian-Pac-Islander,Female,3,6,4,England
7,Never-worked,Assoc-acdm,5,Divorced,Tech-support,Unmarried,Amer-Indian-Eskimo,Male,0,0,5,England
1,Self-emp-not-inc,Assoc-voc,2,Married-civ-spouse,Protective-serv,Other-relative,Amer-Indian-Eskimo,Male,4,2,1,England
0,Self-emp-not-inc,7th-8th,3,Widowed,Armed-Forces,Other-relative,Black,Male,1,2,3,England
7,Without-pay,Doctorate,4,Separated,Priv-house-serv,Own-child,Black,Male,2,6,2,England
7,Self-emp-inc,Prof-school,2,Divorced,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,1,3,3,England
0,Without-pay,5th-6th,4,Divorced,Exec-managerial,Other-relative,Other,Female,2,3,3,England
1,Federal-gov,10th,5,Separated,Handlers-cleaners,Husband,Black,Male,3,0,5,England
4,State-gov,1st-4th,1,Divorced,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,4,7,7,England
5,Private,Preschool,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,3,1,6,England
5,Never-worked,12th,3,Separated,Sales,Wife,Asian-Pac-Islander,Female,3,4,1,England
6,State-gov,Bachelors,1,Divorced,Craft-repair,Own-child,Asian-Pac-Islander,Male,3,5,4,Canada
3,Local-gov,HS-grad,4,Married-AF-spouse,Transport-moving,Unmarried,Other,Female,4,6,6,Canada
4,Federal-gov,11th,6,Never-married,Farming-fishing,Other-relative,Black,Male,1,0,0,Canada
7,Private,Masters,0,Married-spouse-absent,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Male,2,4,2,Canada
2,Without-pay,9th,4,Separated,Tech-support,Husband,Other,Male,3,7,5,Canada
5,Never-worked,Some-college,5,Never-married,Protective-serv,Wife,Asian-Pac-Islander,Female,2,3,3,Canada
6,Self-emp-not-inc,Assoc-acdm,2,Married-AF-spouse,Armed-Forces,Unmarried,Amer-Indian-Eskimo,Female,4,2,7,Canada
0,Local-gov,Assoc-voc,3,Widowed,Priv-house-serv,Wife,Black,Male,2,7,1,Canada
1,Self-emp-inc,7th-8th,0,Married-civ-spouse,Adm-clerical,Own-child,Amer-Indian-Eskimo,Male,2,1,5,Canada
5,Private,Doctorate,4,Married-AF-spouse,Exec-managerial,Own-child,Amer-Indian-Eskimo,Male,2,2,7,Canada
4,State-gov,Prof-school,2,Married-civ-spouse,Handlers-cleaners,Unmarried,Black,Female,0,0,4,Canada
5,Without-pay,5th-6th,1,Never-married,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,2,5,5,Canada
3,Private,10th,4,Separated,Other-service,Husband,Asian-Pac-Islander,Female,4,6,2,Canada
5,Local-gov,1st-4th,4,Divorced,Sales,Unmarried,Amer-Indian-Eskimo,Male,2,1,4,Canada
4,State-gov,Preschool,2,Married-civ-spouse,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,4,2,2,Canada
2,Private,12th,0,Separated,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,1,6,4,Canada
2,Federal-gov,Bachelors,6,Never-married,Farming-fishing,Not-in-family,Asian-Pac-Islander,Male,3,0,6,Germany
4,State-gov,HS-grad,0,Married-spouse-absent,Machine-op-inspct,Husband,Other,Female,4,4,0,Germany
7,Self-emp-not-inc,11th,4,Separated,Tech-support,Own-child,Black,Male,1,5,5,Germany
3,Never-worked,Masters,1,Married-AF-spouse,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,2,6,7,Germany
5,Private,9th,5,Widowed,Armed-Forces,Other-relative,Amer-Indian-Eskimo,Male,3,3,1,Germany
6,Local-gov,Some-college,2,Divorced,Priv-house-serv,Wife,Amer-Indian-Eskimo,Male,4,1,2,Germany
0,Without-pay,Assoc-acdm,3,Married-civ-spouse,Adm-clerical,Other-relative,Other,Male,2,3,0,Germany
1,Never-worked,Assoc-voc,2,Married-spouse-absent,Exec-managerial,Husband,Black,Female,1,7,3,Germany
0,Self-emp-inc,7th-8th,0,Never-married,Handlers-cleaners,Husband,Other,Female,2,2,4,Germany
7,Without-pay,Doctorate,6,Married-AF-spouse,Prof-specialty,Wife,Black,Male,0,0,4,Germany
4,Private,Prof-school,3,Married-civ-spouse,Other-service,Not-in-family,Asian-Pac-Islander,Female,2,7,4,Germany
2,Self-emp-not-inc,5th-6th,1,Never-married,Sales,Own-child,Amer-Indian-Eskimo,Male,2,5,7,Germany
1,Never-worked,10th,0,Married-civ-spouse,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,2,1,6,Germany
5,State-gov,1st-4th,4,Married-AF-spouse,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,1,0,1,Germany
3,State-gov,Preschool,6,Married-civ-spouse,Farming-fishing,Own-child,Black,Male,2,6,4,Germany
5,Private,12th,6,Widowed,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Male,2,2,4,Germany
2,Federal-gov,Bachelors,6,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Male,3,4,3,Iran
3,State-gov,HS-grad,0,Married-spouse-absent,Protective-serv,Not-in-family,Other,Female,4,0,6,Iran
4,Self-emp-not-inc,11th,1,Separated,Armed-Forces,Husband,Black,Female,1,5,0,Iran
7,Private,Masters,4,Married-AF-spouse,Priv-house-serv,Wife,Amer-Indian-Eskimo,Female,2,6,5,Iran
0,Local-gov,9th,5,Widowed,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,2,7,1,Iran
1,Self-emp-inc,Some-college,2,Divorced,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Male,3,4,2,Iran
5,Without-pay,Assoc-acdm,3,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Female,1,1,4,Iran
6,Never-worked,Assoc-voc,1,Separated,Prof-specialty,Other-relative,Black,Male,3,3,5,Iran
0,Without-pay,7th-8th,4,Widowed,Other-service,Wife,Amer-Indian-Eskimo,Male,4,2,7,Iran
3,Without-pay,Doctorate,3,Divorced,Sales,Husband,Black,Female,0,0,5,Iran
1,State-gov,Prof-school,5,Widowed,Craft-repair,Husband,Asian-Pac-Islander,Female,2,7,4,Iran
4,Private,5th-6th,2,Married-spouse-absent,Transport-moving,Unmarried,Other,Female,2,5,0,Iran
2,State-gov,10th,6,Never-married,Farming-fishing,Own-child,Other,Male,2,7,4,Iran
4,Self-emp-inc,1st-4th,6,Divorced,Machine-op-inspct,Own-child,Black,Male,2,1,0,Iran
1,Self-emp-not-inc,Preschool,0,Separated,Tech-support,Own-child,Other,Male,2,6,2,Iran
7,Self-emp-not-inc,12th,6,Widowed,Protective-serv,Husband,Other,Female,4,6,4,Iran
7,State-gov,Bachelors,0,Never-married,Armed-Forces,Not-in-family,Asian-Pac-Islander,Male,2,0,6,Philippines
2,Federal-gov,HS-grad,1,Married-spouse-absent,Priv-house-serv,Husband,Other,Female,3,4,0,Philippines
3,Local-gov,11th,4,Separated,Adm-clerical,Own-child,Black,Female,4,5,1,Philippines
4,Self-emp-inc,Masters,6,Married-AF-spouse,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,1,6,2,Philippines
5,Without-pay,9th,5,Widowed,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Female,2,7,3,Philippines
6,Never-worked,Some-college,2,Divorced,Prof-specialty,Wife,Black,Male,4,1,5,Philippines
0,Self-emp-not-inc,Assoc-acdm,3,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Male,1,3,7,Philippines
1,Private,Assoc-voc,5,Married-spouse-absent,Sales,Wife,Other,Male,2,2,4,Philippines
0,Self-emp-inc,7th-8th,3,Widowed,Craft-repair,Own-child,Other,Female,0,0,2,Philippines
1,Self-emp-inc,Doctorate,6,Never-married,Transport-moving,Own-child,Other,Female,3,2,4,Philippines
4,Self-emp-not-inc,Prof-school,2,Married-AF-spouse,Farming-fishing,Wife,Other,Male,3,3,7,Philippines
6,Private,5th-6th,5,Divorced,Machine-op-inspct,Other-relative,Black,Female,2,5,6,Philippines
2,Self-emp-inc,10th,5,Married-civ-spouse,Tech-support,Wife,Amer-Indian-Eskimo,Female,1,7,0,Philippines
1,Self-emp-not-inc,1st-4th,5,Separated,Protective-serv,Wife,Asian-Pac-Islander,Male,3,2,1,Philippines
6,State-gov,Preschool,5,Married-spouse-absent,Armed-Forces,Wife,Amer-Indian-Eskimo,Female,1,5,6,Philippines
1,State-gov,12th,5,Never-married,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Male,2,5,7,Philippines
2,Federal-gov,Bachelors,0,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Male,0,0,6,Italy
3,State-gov,HS-grad,1,Married-spouse-absent,Exec-managerial,Not-in-family,Other,Female,3,4,0,Italy
4,Self-emp-not-inc,11th,4,Separated,Handlers-cleaners,Husband,Black,Male,4,5,1,Italy
7,Private,Masters,6,Married-AF-spouse,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,1,6,2,Italy
0,Local-gov,9th,5,Widowed,Other-service,Unmarried,Black,Male,2,7,3,Italy
1,Self-emp-inc,Some-college,2,Divorced,Sales,Other-relative,Other,Male,3,1,5,Italy
5,Without-pay,Assoc-acdm,3,Married-civ-spouse,Craft-repair,Wife,Other,Female,1,3,7,Italy
6,Never-worked,Assoc-voc,6,Married-civ-spouse,Transport-moving,Not-in-family,Other,Female,1,2,4,Italy
4,Federal-gov,7th-8th,5,Married-civ-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,Female,3,2,3,Italy
7,Private,Doctorate,5,Widowed,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,4,4,4,Italy
6,State-gov,Prof-school,6,Married-civ-spouse,Tech-support,Other-relative,Amer-Indian-Eskimo,Male,3,4,1,Italy
5,Private,5th-6th,4,Divorced,Protective-serv,Husband,Other,Female,1,1,0,Italy
3,State-gov,10th,2,Widowed,Armed-Forces,Unmarried,Other,Female,4,1,2,Italy
3,State-gov,1st-4th,5,Separated,Priv-house-serv,Other-relative,Asian-Pac-Islander,Male,2,6,4,Italy
1,Self-emp-inc,Preschool,0,Married-AF-spouse,Adm-clerical,Other-relative,Black,Female,1,3,2,Italy
3,Local-gov,12th,4,Married-AF-spouse,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Female,3,4,1,Italy
7,State-gov,Bachelors,0,Never-married,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Male,0,0,6,Poland
2,Federal-gov,HS-grad,1,Married-spouse-absent,Prof-specialty,Husband,Other,Female,3,4,0,Poland
3,Local-gov,11th,4,Separated,Other-service,Own-child,Black,Female,4,5,1,Poland
4,Self-emp-inc,Masters,6,Married-AF-spouse,Sales,Unmarried,Amer-Indian-Eskimo,Female,1,6,2,Poland
5,Without-pay,9th,5,Widowed,Craft-repair,Other-relative,Other,Female,2,7,3,Poland
6,Never-worked,Some-college,2,Divorced,Transport-moving,Wife,Other,Male,3,1,5,Poland
0,Self-emp-not-inc,Assoc-acdm,3,Married-civ-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,4,3,7,Poland
1,Private,Assoc-voc,6,Married-civ-spouse,Machine-op-inspct,Not-in-family,Black,Female,4,2,4,Poland
7,Self-emp-not-inc,7th-8th,6,Divorced,Tech-support,Other-relative,Black,Male,1,7,0,Poland
1,Federal-gov,Doctorate,2,Married-AF-spouse,Protective-serv,Wife,Black,Male,0,0,2,Poland
7,Self-emp-not-inc,Prof-school,4,Separated,Armed-Forces,Other-relative,Black,Male,1,0,5,Poland
2,Never-worked,5th-6th,2,Married-spouse-absent,Priv-house-serv,Own-child,Asian-Pac-Islander,Female,3,1,6,Poland
3,Local-gov,10th,1,Widowed,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Male,4,3,3,Poland
2,Without-pay,1st-4th,4,Married-AF-spouse,Exec-managerial,Other-relative,Black,Male,2,6,6,Poland
3,Private,Preschool,2,Married-AF-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,3,1,4,Poland
