age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
26,State-gov,7th-8th,14,Separated,Priv-house-serv,Husband,Asian-Pac-Islander,Female,3820,2462,51,Jamaica
29,Private,Doctorate,8,Never-married,Adm-clerical,Own-child,Black,Female,3820,1587,47,Jamaica
34,Federal-gov,Prof-school,9,Separated,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,3103,1564,1,Jamaica
37,Local-gov,5th-6th,14,Divorced,Handlers-cleaners,Husband,Black,Female,4386,1828,69,Jamaica
90,Self-emp-inc,10th,15,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Female,12099,1894,1,Jamaica
17,Private,1st-4th,15,Married-AF-spouse,Other-service,Own-child,Amer-Indian-Eskimo,Female,4386,2200,35,Jamaica
22,Local-gov,Preschool,1,Married-spouse-absent,Sales,Own-child,Asian-Pac-Islander,Male,12099,2462,39,Jamaica
24,State-gov,12th,13,Married-civ-spouse,Craft-repair,Unmarried,Other,Male,4386,1816,47,Jamaica
29,Federal-gov,Bachelors,15,Married-spouse-absent,Transport-moving,Other-relative,Amer-Indian-Eskimo,Male,12099,1828,47,India
34,Never-worked,HS-grad,13,Never-married,Farming-fishing,Own-child,Black,Female,12099,1564,42,India
37,Self-emp-not-inc,11th,9,Divorced,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,12099,2200,51,India
90,Local-gov,Masters,11,Widowed,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,3103,1816,6,India
17,Without-pay,9th,1,Separated,Protective-serv,Wife,Amer-Indian-Eskimo,Female,4386,2462,6,India
22,Never-worked,Some-college,14,Married-AF-spouse,Armed-Forces,Unmarried,Other,Female,3103,1587,35,India
24,Self-emp-inc,Assoc-acdm,8,Married-civ-spouse,Priv-house-serv,Other-relative,Black,Male,3103,2200,39,India
26,Self-emp-not-inc,Assoc-voc,1,Widowed,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Male,3820,1816,69,India
29,Local-gov,7th-8th,11,Never-married,Exec-managerial,Wife,Other,Male,3820,1894,1,India
34,State-gov,Doctorate,15,Divorced,Handlers-cleaners,Unmarried,Other,Female,3820,1564,6,India
37,Private,Prof-school,8,Married-AF-spouse,Prof-specialty,Husband,Black,Female,4386,1587,42,India
90,Federal-gov,5th-6th,9,Married-civ-spouse,Other-service,Wife,Amer-Indian-Eskimo,Female,3820,2462,35,India
17,Never-worked,10th,13,Widowed,Sales,Not-in-family,Other,Female,3820,1564,51,India
22,Self-emp-inc,1st-4th,11,Never-married,Craft-repair,Husband,Amer-Indian-Eskimo,Male,3820,1564,69,India
24,Without-pay,Preschool,14,Married-civ-spouse,Transport-moving,Unmarried,Black,Female,4386,2200,1,India
26,Private,12th,8,Separated,Farming-fishing,Wife,Asian-Pac-Islander,Male,3103,1894,69,India
34,Self-emp-inc,Bachelors,11,Married-spouse-absent,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Male,4386,1816,35,Mexico
37,Without-pay,HS-grad,1,Separated,Tech-support,Other-relative,Other,Female,3820,1828,39,Mexico
90,Never-worked,11th,14,Married-AF-spouse,Protective-serv,Not-in-family,Black,Male,3103,1894,42,Mexico
17,State-gov,Masters,9,Widowed,Armed-Forces,Husband,Asian-Pac-Islander,Male,12099,2200,47,Mexico
22,Federal-gov,9th,15,Never-married,Priv-house-serv,Wife,Other,Male,12099,1587,1,Mexico
24,Local-gov,Some-college,13,Divorced,Adm-clerical,Own-child,Asian-Pac-Islander,Male,12099,2462,6,Mexico
26,Self-emp-not-inc,Assoc-acdm,15,Married-civ-spouse,Exec-managerial,Own-child,Other,Male,4386,1564,42,Mexico
29,Self-emp-inc,Assoc-voc,13,Married-AF-spouse,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Female,3103,2200,69,Mexico
34,Self-emp-not-inc,7th-8th,8,Widowed,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Male,3103,1828,6,Mexico
37,Never-worked,Doctorate,11,Married-spouse-absent,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,4386,1816,51,Mexico
90,Private,Prof-school,1,Married-civ-spouse,Sales,Other-relative,Other,Female,12099,1828,35,Mexico
17,Local-gov,5th-6th,9,Married-spouse-absent,Craft-repair,Other-relative,Asian-Pac-Islander,Male,3103,1894,39,Mexico
22,State-gov,10th,14,Divorced,Transport-moving,Wife,Black,Female,4386,1816,39,Mexico
24,Without-pay,1st-4th,1,Widowed,Farming-fishing,Not-in-family,Black,Female,12099,1587,39,Mexico
26,Never-worked,Preschool,8,Separated,Machine-op-inspct,Not-in-family,Black,Male,3103,1894,47,Mexico
29,Self-emp-inc,12th,9,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Male,3820,2462,51,Mexico
37,State-gov,Bachelors,13,Divorced,Protective-serv,Husband,Asian-Pac-Islander,Male,3103,1564,35,South
90,Federal-gov,HS-grad,11,Divorced,Armed-Forces,Unmarried,Amer-Indian-Eskimo,Female,4386,1816,42,South
17,Private,11th,1,Widowed,Priv-house-serv,Own-child,Other,Female,3820,1828,47,South
22,Without-pay,Masters,14,Married-spouse-absent,Adm-clerical,Unmarried,Black,Male,12099,1894,51,South
24,Never-worked,9th,11,Married-AF-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,4386,2200,69,South
26,Self-emp-inc,Some-college,8,Widowed,Handlers-cleaners,Other-relative,Other,Female,4386,2462,1,South
29,State-gov,Assoc-acdm,9,Separated,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,12099,1587,6,South
34,Self-emp-not-inc,Assoc-voc,15,Never-married,Other-service,Husband,Other,Female,12099,1828,39,South
37,Federal-gov,7th-8th,1,Married-civ-spouse,Sales,Other-relative,Amer-Indian-Eskimo,Female,3103,2200,42,South
90,Local-gov,Doctorate,1,Separated,Craft-repair,Own-child,Asian-Pac-Islander,Female,3103,2200,35,South
17,Self-emp-not-inc,Prof-school,11,Widowed,Transport-moving,Not-in-family,Asian-Pac-Islander,Female,3820,2462,51,South
22,Private,5th-6th,15,Separated,Farming-fishing,Husband,Black,Female,4386,1816,1,South
24,Local-gov,10th,14,Never-married,Machine-op-inspct,Other-relative,Amer-Indian-Eskimo,Female,3103,1828,6,South
26,Self-emp-not-inc,1st-4th,13,Divorced,Tech-support,Unmarried,Black,Male,3103,1894,47,South
29,Federal-gov,Preschool,15,Married-spouse-absent,Protective-serv,Wife,Asian-Pac-Islander,Male,3820,1564,39,South
34,Local-gov,12th,15,Married-AF-spouse,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Male,12099,2462,42,South
90,Without-pay,Bachelors,13,Married-AF-spouse,Priv-house-serv,Own-child,Other,Male,4386,1587,42,Puerto-Rico
17,State-gov,HS-grad,14,Married-civ-spouse,Adm-clerical,Husband,Black,Female,3103,1828,69,Puerto-Rico
22,Self-emp-inc,11th,9,Married-spouse-absent,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,3820,1564,1,Puerto-Rico
24,Never-worked,Masters,1,Separated,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,12099,2462,35,Puerto-Rico
26,Self-emp-not-inc,9th,8,Divorced,Prof-specialty,Not-in-family,Black,Female,4386,1816,35,Puerto-Rico
29,Private,Some-college,9,Widowed,Other-service,Wife,Asian-Pac-Islander,Male,3820,1894,6,Puerto-Rico
34,Local-gov,Assoc-acdm,15,Married-civ-spouse,Sales,Other-relative,Amer-Indian-Eskimo,Male,3820,1894,47,Puerto-Rico
37,Federal-gov,Assoc-voc,11,Never-married,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,3103,1587,51,Puerto-Rico
90,Without-pay,7th-8th,13,Married-spouse-absent,Transport-moving,Other-relative,Black,Female,4386,1564,47,Puerto-Rico
17,Self-emp-inc,Doctorate,14,Married-civ-spouse,Farming-fishing,Other-relative,Asian-Pac-Islander,Female,3103,2462,39,Puerto-Rico
22,State-gov,Prof-school,13,Married-spouse-absent,Machine-op-inspct,Husband,Asian-Pac-Islander,Female,4386,2200,42,Puerto-Rico
24,Never-worked,5th-6th,8,Married-AF-spouse,Tech-support,Unmarried,Other,Female,12099,1587,47,Puerto-Rico
26,Self-emp-not-inc,10th,8,Divorced,Protective-serv,Husband,Asian-Pac-Islander,Male,12099,1587,1,Puerto-Rico
29,Private,1st-4th,9,Separated,Armed-Forces,Wife,Other,Male,3820,1816,6,Puerto-Rico
37,Self-emp-not-inc,Preschool,11,Married-AF-spouse,Priv-house-serv,Husband,Amer-Indian-Eskimo,Male,4386,1816,69,Puerto-Rico
90,Federal-gov,12th,15,Widowed,Adm-clerical,Husband,Black,Female,4386,1564,35,Puerto-Rico
17,Without-pay,Bachelors,14,Never-married,Handlers-cleaners,Own-child,Asian-Pac-Islander,Male,4386,1816,69,Honduras
22,Never-worked,HS-grad,13,Married-civ-spouse,Prof-specialty,Other-relative,Other,Female,12099,2200,47,Honduras
24,State-gov,11th,15,Married-AF-spouse,Other-service,Wife,Black,Female,3820,2462,69,Honduras
26,Self-emp-not-inc,Masters,8,Divorced,Sales,Unmarried,Amer-Indian-Eskimo,Female,3103,1587,1,Honduras
29,Private,9th,9,Widowed,Craft-repair,Not-in-family,Black,Male,3820,1828,51,Honduras
34,Federal-gov,Some-college,1,Married-spouse-absent,Transport-moving,Husband,Other,Female,4386,1894,6,Honduras
37,Local-gov,Assoc-acdm,11,Married-spouse-absent,Farming-fishing,Husband,Black,Male,3103,1564,35,Honduras
90,Self-emp-inc,Assoc-voc,1,Separated,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Female,3820,1587,42,Honduras
34,Never-worked,7th-8th,9,Divorced,Tech-support,Husband,Black,Male,3820,2200,35,Honduras
22,Self-emp-not-inc,Doctorate,9,Married-civ-spouse,Protective-serv,Wife,Black,Male,3820,1894,39,Honduras
24,Without-pay,Prof-school,8,Never-married,Armed-Forces,Own-child,Black,Female,12099,1564,69,Honduras
26,Local-gov,5th-6th,11,Widowed,Priv-house-serv,Wife,Asian-Pac-Islander,Male,4386,1564,42,Honduras
29,Self-emp-inc,10th,11,Married-AF-spouse,Adm-clerical,Own-child,Other,Female,3820,2200,42,Honduras
34,Without-pay,1st-4th,14,Married-civ-spouse,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,12099,1828,51,Honduras
22,Private,Preschool,11,Divorced,Handlers-cleaners,Husband,Black,Female,3820,1894,6,Honduras
37,Self-emp-inc,12th,14,Married-spouse-absent,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,3820,2462,1,Honduras
17,Private,Bachelors,1,Separated,Other-service,Not-in-family,Asian-Pac-Islander,Male,4386,2462,1,England
24,State-gov,HS-grad,13,Married-spouse-absent,Sales,Other-relative,Other,Female,12099,1894,51,England
26,Federal-gov,11th,14,Married-civ-spouse,Craft-repair,Husband,Black,Male,3820,1816,6,England
29,Self-emp-inc,Masters,15,Never-married,Transport-moving,Wife,Amer-Indian-Eskimo,Male,3103,1564,69,England
34,Local-gov,9th,8,Married-AF-spouse,Farming-fishing,Unmarried,Black,Female,4386,1828,39,England
37,Without-pay,Some-college,9,Widowed,Machine-op-inspct,Own-child,Asian-Pac-Islander,Female,4386,2200,42,England
90,Never-worked,Assoc-acdm,14,Divorced,Tech-support,Unmarried,Amer-Indian-Eskimo,Male,0,115,47,England
22,Self-emp-not-inc,Assoc-voc,9,Married-civ-spouse,Protective-serv,Other-relative,Amer-Indian-Eskimo,Male,12099,1587,6,England
17,Self-emp-not-inc,7th-8th,11,Widowed,Armed-Forces,Other-relative,Black,Male,3820,1587,39,England
90,Without-pay,Doctorate,13,Separated,Priv-house-serv,Own-child,Black,Male,3103,2200,35,England
90,Self-emp-inc,Prof-school,9,Divorced,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,3820,1816,39,England
17,Without-pay,5th-6th,13,Divorced,Exec-managerial,Other-relative,Other,Female,3103,1816,39,England
22,Federal-gov,10th,14,Separated,Handlers-cleaners,Husband,Black,Male,4386,115,47,England
29,State-gov,1st-4th,8,Divorced,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,12099,2462,69,England
34,Private,Preschool,14,Married-spouse-absent,Other-service,Not-in-family,Black,Female,4386,1564,51,England
34,Never-worked,12th,11,Separated,Sales,Wife,Asian-Pac-Islander,Female,4386,1828,6,England
37,State-gov,Bachelors,8,Divorced,Craft-repair,Own-child,Asian-Pac-Islander,Male,4386,1894,42,Canada
26,Local-gov,HS-grad,13,Married-AF-spouse,Transport-moving,Unmarried,Other,Female,12099,2200,51,Canada
29,Federal-gov,11th,15,Never-married,Farming-fishing,Other-relative,Black,Male,3820,115,1,Canada
90,Private,Masters,1,Married-spouse-absent,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Male,3103,1828,35,Canada
24,Without-pay,9th,13,Separated,Tech-support,Husband,Other,Male,4386,2462,47,Canada
34,Never-worked,Some-college,14,Never-married,Protective-serv,Wife,Asian-Pac-Islander,Female,3103,1816,39,Canada
37,Self-emp-not-inc,Assoc-acdm,9,Married-AF-spouse,Armed-Forces,Unmarried,Amer-Indian-Eskimo,Female,12099,1587,69,Canada
17,Local-gov,Assoc-voc,11,Widowed,Priv-house-serv,Wife,Black,Male,3103,2462,6,Canada
22,Self-emp-inc,7th-8th,1,Married-civ-spouse,Adm-clerical,Own-child,Amer-Indian-Eskimo,Male,3103,1564,47,Canada
34,Private,Doctorate,13,Married-AF-spouse,Exec-managerial,Own-child,Amer-Indian-Eskimo,Male,3103,1587,69,Canada
29,State-gov,Prof-school,9,Married-civ-spouse,Handlers-cleaners,Unmarried,Black,Female,0,115,42,Canada
34,Without-pay,5th-6th,8,Never-married,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,3103,1894,47,Canada
26,Private,10th,13,Separated,Other-service,Husband,Asian-Pac-Islander,Female,12099,2200,35,Canada
34,Local-gov,1st-4th,13,Divorced,Sales,Unmarried,Amer-Indian-Eskimo,Male,3103,1564,42,Canada
29,State-gov,Preschool,9,Married-civ-spouse,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,12099,1587,35,Canada
24,Private,12th,1,Separated,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,3820,2200,42,Canada
24,Federal-gov,Bachelors,15,Never-married,Farming-fishing,Not-in-family,Asian-Pac-Islander,Male,4386,115,51,Germany
29,State-gov,HS-grad,1,Married-spouse-absent,Machine-op-inspct,Husband,Other,Female,12099,1828,1,Germany
90,Self-emp-not-inc,11th,13,Separated,Tech-support,Own-child,Black,Male,3820,1894,47,Germany
26,Never-worked,Masters,8,Married-AF-spouse,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,3103,2200,69,Germany
34,Private,9th,14,Widowed,Armed-Forces,Other-relative,Amer-Indian-Eskimo,Male,4386,1816,6,Germany
37,Local-gov,Some-college,9,Divorced,Priv-house-serv,Wife,Amer-Indian-Eskimo,Male,12099,1564,35,Germany
17,Without-pay,Assoc-acdm,11,Married-civ-spouse,Adm-clerical,Other-relative,Other,Male,3103,1816,1,Germany
22,Never-worked,Assoc-voc,9,Married-spouse-absent,Exec-managerial,Husband,Black,Female,3820,2462,39,Germany
17,Self-emp-inc,7th-8th,1,Never-married,Handlers-cleaners,Husband,Other,Female,3103,1587,42,Germany
90,Without-pay,Doctorate,15,Married-AF-spouse,Prof-specialty,Wife,Black,Male,0,115,42,Germany
29,Private,Prof-school,11,Married-civ-spouse,Other-service,Not-in-family,Asian-Pac-Islander,Female,3103,2462,42,Germany
24,Self-emp-not-inc,5th-6th,8,Never-married,Sales,Own-child,Amer-Indian-Eskimo,Male,3103,1894,69,Germany
22,Never-worked,10th,1,Married-civ-spouse,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,3103,1564,51,Germany
34,State-gov,1st-4th,13,Married-AF-spouse,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,3820,115,6,Germany
26,State-gov,Preschool,15,Married-civ-spouse,Farming-fishing,Own-child,Black,Male,3103,2200,42,Germany
34,Private,12th,15,Widowed,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Male,3103,1587,42,Germany
24,Federal-gov,Bachelors,15,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Male,4386,1828,39,Iran
26,State-gov,HS-grad,1,Married-spouse-absent,Protective-serv,Not-in-family,Other,Female,12099,115,51,Iran
29,Self-emp-not-inc,11th,8,Separated,Armed-Forces,Husband,Black,Female,3820,1894,1,Iran
90,Private,Masters,13,Married-AF-spouse,Priv-house-serv,Wife,Amer-Indian-Eskimo,Female,3103,2200,47,Iran
17,Local-gov,9th,14,Widowed,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,3103,2462,6,Iran
22,Self-emp-inc,Some-college,9,Divorced,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Male,4386,1828,35,Iran
34,Without-pay,Assoc-acdm,11,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Female,3820,1564,42,Iran
37,Never-worked,Assoc-voc,8,Separated,Prof-specialty,Other-relative,Black,Male,4386,1816,47,Iran
17,Without-pay,7th-8th,13,Widowed,Other-service,Wife,Amer-Indian-Eskimo,Male,12099,1587,69,Iran
26,Without-pay,Doctorate,11,Divorced,Sales,Husband,Black,Female,0,115,47,Iran
22,State-gov,Prof-school,14,Widowed,Craft-repair,Husband,Asian-Pac-Islander,Female,3103,2462,42,Iran
29,Private,5th-6th,9,Married-spouse-absent,Transport-moving,Unmarried,Other,Female,3103,1894,1,Iran
24,State-gov,10th,15,Never-married,Farming-fishing,Own-child,Other,Male,3103,2462,42,Iran
29,Self-emp-inc,1st-4th,15,Divorced,Machine-op-inspct,Own-child,Black,Male,3103,1564,1,Iran
22,Self-emp-not-inc,Preschool,1,Separated,Tech-support,Own-child,Other,Male,3103,2200,35,Iran
90,Self-emp-not-inc,12th,15,Widowed,Protective-serv,Husband,Other,Female,12099,2200,42,Iran
90,State-gov,Bachelors,1,Never-married,Armed-Forces,Not-in-family,Asian-Pac-Islander,Male,3103,115,51,Philippines
24,Federal-gov,HS-grad,8,Married-spouse-absent,Priv-house-serv,Husband,Other,Female,4386,1828,1,Philippines
26,Local-gov,11th,13,Separated,Adm-clerical,Own-child,Black,Female,12099,1894,6,Philippines
29,Self-emp-inc,Masters,15,Married-AF-spouse,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,3820,2200,35,Philippines
34,Without-pay,9th,14,Widowed,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Female,3103,2462,39,Philippines
37,Never-worked,Some-college,9,Divorced,Prof-specialty,Wife,Black,Male,12099,1564,47,Philippines
17,Self-emp-not-inc,Assoc-acdm,11,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Male,3820,1816,69,Philippines
22,Private,Assoc-voc,14,Married-spouse-absent,Sales,Wife,Other,Male,3103,1587,42,Philippines
17,Self-emp-inc,7th-8th,11,Widowed,Craft-repair,Own-child,Other,Female,0,115,35,Philippines
22,Self-emp-inc,Doctorate,15,Never-married,Transport-moving,Own-child,Other,Female,4386,1587,42,Philippines
29,Self-emp-not-inc,Prof-school,9,Married-AF-spouse,Farming-fishing,Wife,Other,Male,4386,1816,69,Philippines
37,Private,5th-6th,14,Divorced,Machine-op-inspct,Other-relative,Black,Female,3103,1894,51,Philippines
24,Self-emp-inc,10th,14,Married-civ-spouse,Tech-support,Wife,Amer-Indian-Eskimo,Female,3820,2462,1,Philippines
22,Self-emp-not-inc,1st-4th,14,Separated,Protective-serv,Wife,Asian-Pac-Islander,Male,4386,1587,6,Philippines
37,State-gov,Preschool,14,Married-spouse-absent,Armed-Forces,Wife,Amer-Indian-Eskimo,Female,3820,1894,51,Philippines
22,State-gov,12th,14,Never-married,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Male,3103,1894,69,Philippines
24,Federal-gov,Bachelors,1,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Male,0,115,51,Italy
26,State-gov,HS-grad,8,Married-spouse-absent,Exec-managerial,Not-in-family,Other,Female,4386,1828,1,Italy
29,Self-emp-not-inc,11th,13,Separated,Handlers-cleaners,Husband,Black,Male,12099,1894,6,Italy
90,Private,Masters,15,Married-AF-spouse,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,3820,2200,35,Italy
17,Local-gov,9th,14,Widowed,Other-service,Unmarried,Black,Male,3103,2462,39,Italy
22,Self-emp-inc,Some-college,9,Divorced,Sales,Other-relative,Other,Male,4386,1564,47,Italy
34,Without-pay,Assoc-acdm,11,Married-civ-spouse,Craft-repair,Wife,Other,Female,3820,1816,69,Italy
37,Never-worked,Assoc-voc,15,Married-civ-spouse,Transport-moving,Not-in-family,Other,Female,3820,1587,42,Italy
29,Federal-gov,7th-8th,14,Married-civ-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,Female,4386,1587,39,Italy
90,Private,Doctorate,14,Widowed,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,12099,1828,42,Italy
37,State-gov,Prof-school,15,Married-civ-spouse,Tech-support,Other-relative,Amer-Indian-Eskimo,Male,4386,1828,6,Italy
34,Private,5th-6th,13,Divorced,Protective-serv,Husband,Other,Female,3820,1564,1,Italy
26,State-gov,10th,9,Widowed,Armed-Forces,Unmarried,Other,Female,12099,1564,35,Italy
26,State-gov,1st-4th,14,Separated,Priv-house-serv,Other-relative,Asian-Pac-Islander,Male,3103,2200,42,Italy
22,Self-emp-inc,Preschool,1,Married-AF-spouse,Adm-clerical,Other-relative,Black,Female,3820,1816,35,Italy
26,Local-gov,12th,13,Married-AF-spouse,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Female,4386,1828,6,Italy
90,State-gov,Bachelors,1,Never-married,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Male,0,115,51,Poland
24,Federal-gov,HS-grad,8,Married-spouse-absent,Prof-specialty,Husband,Other,Female,4386,1828,1,Poland
26,Local-gov,11th,13,Separated,Other-service,Own-child,Black,Female,12099,1894,6,Poland
29,Self-emp-inc,Masters,15,Married-AF-spouse,Sales,Unmarried,Amer-Indian-Eskimo,Female,3820,2200,35,Poland
34,Without-pay,9th,14,Widowed,Craft-repair,Other-relative,Other,Female,3103,2462,39,Poland
37,Never-worked,Some-college,9,Divorced,Transport-moving,Wife,Other,Male,4386,1564,47,Poland
17,Self-emp-not-inc,Assoc-acdm,11,Married-civ-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,12099,1816,69,Poland
22,Private,Assoc-voc,15,Married-civ-spouse,Machine-op-inspct,Not-in-family,Black,Female,12099,1587,42,Poland
90,Self-emp-not-inc,7th-8th,15,Divorced,Tech-support,Other-relative,Black,Male,3820,2462,1,Poland
22,Federal-gov,Doctorate,9,Married-AF-spouse,Protective-serv,Wife,Black,Male,0,115,35,Poland
90,Self-emp-not-inc,Prof-school,13,Separated,Armed-Forces,Other-relative,Black,Male,3820,115,47,Poland
24,Never-worked,5th-6th,9,Married-spouse-absent,Priv-house-serv,Own-child,Asian-Pac-Islander,Female,4386,1564,51,Poland
